co2_emissions	energy_use_per_capita
0.050822	309.513566
3.695464	1967.867036
4.775718	5441.086932
1.26951	455.367021
7.607209	2271.837403
6.515177	1905.060572
17.063524	6888.956581
14.286614	4501.326161
0.808445	772.157904
7.894237	3218.761243
0.678857	434.562681
1.74546	687.115313
1.030574	376.061553
1.371343	1375.459656
2.557986	992.910618
1.666315	525.062096
6.682859	3517.851694
1.706817	371.647679
0.482738	310.557486
0.587985	493.540573
13.562148	3687.422017
9.490618	4150.878852
0.184368	371.556569
0.14052	281.964908
6.475236	2745.920798
13.107432	4572.62843
0.08407	95.334306
2.00589	742.882251
1.878622	750.058844
0.957553	533.29398
0.448514	323.599173
8.92609	2651.933627
1.820925	699.862104
8.754659	2502.776077
7.418643	2813.731975
1.017742	731.343774
0.822902	598.398544
2.403582	1307.201088
3.223188	1322.15451
4.893444	2005.510545
7.881648	4914.944167
7.640549	2683.775083
2.544778	816.706429
8.172542	2860.861878
0.818097	451.147147
12.333906	4682.259123
0.28977	664.156907
0.534195	446.060354
13.879144	9049.418237
0.3961	390.210642
0.201632	416.622396
15.602246	4726.044582
6.219645	2232.331114
5.208484	2743.938183
0.149194	414.92832
11.700273	3935.328379
0.978017	415.683666
1.788537	1081.891388
1.807791	1142.51488
7.421409	3628.592852
5.932064	1741.287902
0.968188	631.794958
0.288789	378.4798
8.576007	2815.767472
1.247934	874.63479
6.432566	3642.687526
0.439162	361.965844
4.775882	1910.208262
1.902805	639.221937
4.384559	1247.756264
0.085464	372.177273
1.031016	764.444961
4.986836	1856.981982
6.984458	1701.896623
0.071119	306.294126
3.432739	1309.423144
8.561494	2955.925626
0.708281	537.949165
3.839013	1617.965513
5.456571	2947.960167
1.022027	742.232236
10.16688	3614.672443
7.049247	2856.574856
10.947594	3692.770574
0.48949	177.407301
0.266875	467.067927
0.309506	358.297843
3.73019	1818.145323
0.541081	585.825056
0.227689	463.956783
0.345215	279.36016
3.719204	1113.809931
0.986387	755.663429
0.222439	389.110211
0.963791	296.467179
5.501578	1985.33075
0.141528	318.769157
6.079865	1845.983491
2.208513	831.815055
2.21478	844.449078
2.603111	985.317485
5.531978	3091.647028
14.980026	8047.129105
9.712734	4125.316966
4.124491	1654.947771
0.522969	302.255582
0.883334	662.991078
0.497801	327.255415
0.087908	208.906301
0.090579	383.943823
1.552572	460.752056
7.662307	9810.218978
1.223072	693.899901
0.292012	466.866727
10.115374	2596.22518
1.765604	1089.861362
5.400035	2611.023923
8.781638	5081.854743
4.172832	1386.605443
0.447828	367.501191
1.066782	540.229429
5.393164	1861.954262
0.815309	410.970957
1.044472	742.747051
5.645154	2476.106195
9.422666	4418.20998
3.354943	879.071574
0.603176	428.816467
6.557272	2491.620901
11.025538	3208.91968
4.286158	1729.321663
14.607386	6109.045083
0.049182	306.179997
13.19212	4801.526281
5.936879	4247.646372
0.496331	346.634277
6.131266	2224.930748
0.131992	368.852149
1.764373	1094.187563
15.594595	7361.333748
0.161336	300.166301
0.021086	296.578164
1.609402	727.884734
3.759903	1505.816555
2.712222	973.714632
0.938608	334.928946
6.250722	4188.552189
1.799439	672.601309
2.098755	906.96953
3.655817	1935.214708
0.759779	538.566014
1.103952	514.680274
7.324863	2391.267123
5.290057	2066.145324
12.102078	3382.528834
7.23594	3733.668342
9.833109	4208.974934
17.650347	4997.777348
0.540168	632.031389
0.429479	367.211235
0.473778	407.953482
7.755187	2890.645645
3.277296	1161.804671
7.705921	5047.901788
6.032446	1427.952329
0.80738	563.654499
0.139663	222.938187
12.943485	4953.161962
0.14246	484.476922
0.15599	263.835259
4.375031	1513.648133
9.073842	1751.598792
2.817506	1733.361594
12.009566	3933.789532
1.382487	864.651821
0.51192	568.922439
1.202853	370.340185
0.795201	219.655854
1.792705	759.275362
7.761554	4615.525019
3.748284	1479.941112
3.803771	1327.758134
7.919727	3339.543275
2.454935	992.614945
2.795334	1056.218492
10.583119	4153.008146
12.804077	5163.990243
1.591182	896.748934
10.432546	3909.881494
0.484794	488.933835
6.99692	2043.59908
11.710195	3612.796012
12.434062	3917.182663
9.394341	3171.017317
4.460701	2663.572433
1.158062	760.289368
5.400093	5846.720441
0.785139	194.192033
7.152461	5903.584229
6.948596	1334.470869
13.799774	5571.281599
1.90242	797.926169
0.705979	250.922957
1.235538	646.64834
15.417899	3576.565683
5.271907	1897.187564
5.441454	1406.171775
0.291054	304.175968
0.198395	469.866843
1.410709	577.697929
9.338025	3155.673347
1.246456	880.553802
4.005036	1462.600196
1.424085	641.265833
16.472737	5014.17496
0.780255	482.064468
6.464116	2819.397334
3.60412	1435.665038
1.698667	671.03438
0.464249	403.032345
2.19151	867.51577
8.064879	3969.256857
9.106982	2631.21766
15.373599	4817.357596
0.300636	653.413421
0.322112	313.134047
2.373151	837.192697
3.861621	1432.732804
0.474594	434.078062
0.390428	561.738812
1.766399	790.670428
5.269121	1785.184026
0.668752	362.175685
12.680904	2161.349978
7.567157	2261.555701
0.498224	507.355458
0.995055	714.77115
2.537309	990.132009
4.874697	1920.234387
0.675102	401.258759
1.687536	954.190535
0.418127	382.734335
0.622171	476.870843
0.541501	423.471831
0.142871	290.310362
0.731456	662.257553
0.793603	496.574662
0.174619	367.840773
0.808586	743.087936
7.742237	2649.885029
0.139423	318.968691
11.981027	4374.531741
2.358294	955.996601
8.373858	4476.167746
0.600374	515.022868
5.820562	2333.305911
7.975742	3318.804646
4.076443	1538.704512
3.565135	1447.743336
0.147596	290.346277
0.763769	427.333297
0.398979	334.242445
5.357735	1483.122469
1.17223	596.14396
1.982203	825.061161
2.089913	897.154447
0.886929	635.542083
4.132899	1775.291956
2.003727	831.117021
0.329838	367.662789
3.017738	1003.591258
0.16562	299.01875
7.434065	2439.115086
0.155841	396.642706
6.146923	4512.171429
0.727403	399.00577
2.689491	1281.233757
3.251698	1114.869139
6.513911	1582.466489
1.496267	628.289783
0.038595	343.950241
10.182134	3647.183285
1.743988	1097.2103
1.53821	766.239532
7.905927	2503.960634
3.501233	1213.988658
0.629909	387.746708
1.585509	647.325911
0.200755	417.332397
12.012811	5127.111543
7.769852	3145.509954
5.364023	2540.50555
0.425816	305.212002
1.055915	763.875364
11.217393	3950.817793
3.00533	1146.918479
10.918865	3556.916996
4.336431	1604.810583
0.166041	342.999211
8.192805	5723.892229
11.212965	2866.593567
2.874559	946.090682
2.418119	909.975632
1.231043	820.89378
0.090112	95.67008
0.473046	675.720812
2.910384	1017.544632
4.140128	1684.619555
4.329226	1601.363473
10.799227	3200.0
3.59586	1596.133551
10.531579	5516.47011
2.979986	1141.757744
0.691076	478.737792
1.712355	757.701043
0.386187	459.076839
0.429472	364.808653
1.93664	780.359352
1.103041	409.289112
0.106233	266.173092
0.250168	337.235039
6.063717	2323.773046
5.942231	2059.110894
7.74148	2331.235978
11.144924	3043.611642
0.067862	88.481089
13.090435	4718.362458
7.88766	2440.886018
1.404942	799.206263
6.006976	2314.680702
0.232942	616.311862
0.203029	329.241299
0.754357	266.787828
0.309726	329.295086
1.4719	597.691886
9.064533	4838.416482
1.67966	361.490053
6.462701	3672.662977
1.025926	648.84984
15.933972	5003.118091
0.960235	610.797191
0.31707	403.957028
2.90778	1246.271003
13.045544	4050.930572
11.791028	3048.298573
1.705817	695.017939
1.019493	440.238377
0.228419	330.499602
0.095206	287.789234
6.903533	3082.748577
0.895796	688.139091
6.056662	1449.779087
3.134458	776.180659
1.083279	432.897162
2.86418	914.75724
1.417514	873.349739
5.452743	2370.671108
6.266279	1864.413559
1.065167	457.126194
0.27733	397.655893
3.50844	916.076743
1.24695	711.260926
3.126727	1126.076779
4.069248	1668.096249
0.646984	460.886155
5.836008	2221.306879
0.582173	353.122292
4.255329	1319.364587
0.813592	632.957277
0.149002	349.94144
3.284153	1072.327886
0.454613	453.83645
12.193677	5194.10154
0.611073	791.976806
10.319957	3546.562527
1.770577	719.724135
1.893964	858.118972
0.133304	309.892964
0.69759	347.98167
0.606582	589.610285
7.297844	7781.893004
