emissions_total_per_capita	renewable_share_of_electricity__pct
4.0631776	1.0168166
4.1554136	1.0296642
3.8185754	0.9214845
4.012335	0.77238154
4.058243	0.77114993
3.8586802	0.8541283
6.7725687	2.7777777
7.020848	2.7777777
6.74395	5.714286
6.9060183	5.714286
6.6604347	5.5555553
3.4431703	7.75965
3.7333274	6.8978806
3.5586586	5.1262136
3.7416196	5.469593
3.9233098	6.3579817
4.2582173	6.8625546
6.20514	0.0
6.3506823	0.0
5.137396	0.0
6.2495623	0.0
6.0420437	0.0
21.790699	0.033840947
25.295322	0.030211482
25.215979	0.029967038
24.10311	0.029515937
23.25017	0.02813731
0.52965784	1.737917
0.5748978	1.3086536
0.57399553	1.5112162
0.64190555	1.4217018
0.67221427	1.3040495
0.6615086	1.5081774
5.25944	2.8846154
5.0809	3.773585
4.3926697	6.603774
4.16765	7.54717
4.0504413	7.3394494
6.5566535	2.0774558
6.5812345	2.57044
6.315496	3.502854
6.586977	3.2429817
6.4736867	3.392025
6.197136	2.7083464
0.4577955	0.0
0.41347355	1.8518518
0.42215323	1.010101
0.42936745	1.7699115
0.420974	1.7699115
10.909888	1.5625
9.262487	1.6393442
6.7752743	1.6949153
7.9945526	1.6949153
7.7376037	1.5873016
3.3229713	0.32154343
2.884646	0.3984064
2.3462896	0.4587156
2.5022633	0.4016064
2.7032576	0.38022813
4.6541758	0.0
5.0373955	0.0
4.836377	0.0
4.847843	0.0
4.637814	0.0
21.34535	0.0
24.247364	0.0
24.939121	0.0
25.931751	0.0
24.936909	0.0
0.14752656	6.25
0.13781506	6.060606
0.13680673	5.714286
0.14977048	5.714286
0.16281013	5.714286
0.37041378	0.0
0.3959646	0.0
0.46592182	0.0
0.6090746	0.0
0.54057914	0.0
2.0503552	3.646833
2.0079126	4.391892
1.9037757	4.8293967
2.027723	4.6446557
1.9785471	4.6600876
5.7629395	9.486166
5.70816	10.097087
5.3869967	12.371135
10.080272	10.859052
9.569924	11.735885
8.689388	12.908864
9.17754	12.718144
8.91092	12.873179
7.92107	14.87267
0.44332924	0.0
0.49899417	0.0
0.41900718	0.0
0.47408453	0.0
0.43468726	0.0
2.5376952	14.285714
2.3888187	14.818548
2.6046193	12.202236
2.7721057	14.50752
0.483596	0.0
0.51920164	0.0
0.4875513	0.0
0.459349	0.0
0.47420487	0.0
2.358181	8.2551775
2.4057102	10.24631
2.1530209	12.3766365
2.3516853	11.80062
2.4078574	11.9342785
2.3486664	11.787243
0.19513549	2.857143
0.19906436	2.7777777
0.19473332	2.7027028
0.2034651	2.631579
0.18286084	2.631579
0.27026686	0.0
0.28932655	0.0
0.27818328	0.0
0.28163114	0.0
0.279729	0.0
2.661156	0.0
2.8441563	0.0
2.488788	0.0
2.6699815	0.0
2.7461755	4.0
0.1620295	0.0
0.1638662	0.0
0.14741816	0.0
0.14771359	0.0
0.14682977	0.0
3.1622431	1.7699115
3.412209	2.631579
4.162018	1.7699115
4.391797	1.754386
4.4148493	1.754386
0.28798378	13.207548
0.30625582	12.62136
0.29390442	13.461539
5.702032	0.4101723
5.597313	0.43313482
4.472128	0.53824365
4.504877	0.61794734
4.2234635	0.6399555
4.550918	0.9582091
5.051615	11.762871
5.032163	13.710618
8.009745	3.4672642
8.447259	11.010066
8.62491	7.393238
8.815236	4.8214755
8.944471	2.714503
9.026508	4.393576
4.5889473	2.2873828
4.6182113	5.707789
3.825463	4.9397163
3.6926064	3.9572937
3.8864813	2.3444936
3.9148493	2.7341218
7.048836	2.546195
6.775189	4.5769763
6.7220626	6.0765815
6.5983253	7.5397363
6.6951056	9.945989
6.4269466	10.4693365
2.8674781	14.646464
3.356447	12.715517
2.4383793	13.785046
2.5886042	13.333334
2.5137622	13.507625
2.4031124	10.603829
