Fertility_rate	Human_Development_Index
7.693	0.338
5.879	0.492
5.238	0.507
4.84	0.496
2.535	0.645
1.677	0.781
1.719	0.79
1.555	0.797
1.371	0.794
2.5	0.685
2.562	0.692
1.234	0.851
6.32	0.504
5.774	0.603
5.304	0.609
1.526	0.837
1.567	0.839
2.987	0.743
2.304	0.85
1.588	0.747
1.615	0.752
1.719	0.801
1.714	0.811
2.3606493	0.63415104
2.285924	0.677284
1.591	0.676
2.131	0.766
1.764	0.757
2.008	0.798
1.373	0.82
2.699	0.791
2.282	0.8
2.94	0.511
1.755	0.79
1.729	0.798
1.715	0.808
1.708	0.811
3.526	0.676
3.43	0.686
2.433	0.721
6.51	0.371
6.23	0.396
5.848	0.426
2.068	0.609
1.502	0.688
4.713	0.568
3.89	0.639
3.721	0.645
3.287	0.671
1.26	0.725
1.278	0.756
1.486	0.804
2.99	0.696
2.418	0.68
1.777	0.753
2.461	0.79
2.185	0.804
2.024	0.814
1.978	0.842
1.642	0.793
1.5	0.807
5.869	0.389
4.44	0.453
5.076	0.404
3.175	0.525
2.782	0.547
2.751	0.551
5.795	0.432
1.591	0.647
1.533	0.664
5.785	0.337
5.812	0.346
7.201	0.32
6.839	0.396
2.978	0.645
2.522	0.681
1.719	0.772
5.195	0.47
4.489	0.56
4.348	0.571
3.935	0.602
5.266	0.573
4.651	0.582
4.726	0.591
4.38	0.634
2.928	0.696
2.779	0.706
1.8	0.802
6.585	0.39
6.128	0.396
1.485	0.836
1.562	0.674
1.402	0.766
1.607	0.769
2.402	0.749
1.509	0.85
1.146	0.828
6.672	0.386
6.606	0.392
6.591	0.431
4.41	0.349
2.16	0.724
1.998	0.732
2.074	0.737
2.869	0.658
3.633	0.649
2.615	0.737
4.512	0.572
3.254	0.648
3.238	0.665
3.311	0.68
2.636	0.628
2.291	0.653
5.731	0.536
5.618	0.552
4.952	0.644
4.407	0.483
4.335	0.479
3.867	0.496
1.361	0.746
4.981	0.558
4.235	0.523
2.841	0.658
6.4	0.317
4.708	0.441
4.529	0.456
4.177	0.487
4.082	0.494
1.4145938	0.7928959
1.4586754	0.84263706
1.6004827	0.8599548
2.357	0.718
1.776	0.823
4.502	0.653
4.142	0.674
