fertilizer_kg	crop_yield
112	115
151	150
106	71
126	108
102	226
139	137
110	534
156	541
125	335
133	237
102	569
115	101
135	374
156	231
124	137
148	497
115	420
124	409
129	82
115	361
111	267
126	425
107	503
134	560
143	372
120	217
112	386
102	190
145	215
149	541
100	402
145	293
131	143
133	325
158	166
134	188
141	133
128	511
137	158
120	120
122	287
151	269
127	277
115	451
127	409
148	460
115	365
105	149
114	426
104	560
139	405
126	508
111	429
145	160
131	400
142	280
108	418
122	492
135	102
158	167
158	268
2190	536
2682	537
2449	486
1238	110
2058	258
2671	442
803	461
684	513
2833	297
2263	571
1142	509
2307	276
2280	532
1339	330
2037	521
2948	508
475	80
2767	484
983	477
1719	258
2014	290
2417	390
2893	367
579	194
2160	369
2063	456
1739	517
2577	557
1092	421
863	450
2272	523
882	253
475	198
1709	519
790	405
2208	279
596	84
2308	516
1692	427
209	164
1078	261
1047	74
1941	145
761	561
2411	414
1261	299
969	534
2163	278
805	569
308	360
2755	312
925	185
2805	219
2507	144
1273	127
2975	596
2581	197
2064	496
304	480
1277	467
2517	454
2383	218
1296	573
1760	113
1247	496
1285	364
1396	224
765	138
1157	479
2052	216
1414	274
644	306
233	124
887	582
1337	353
2925	457
1012	340
2530	371
2420	462
1746	531
2697	593
2380	137
1378	350
565	334
1071	406
1540	165
2542	173
334	231
1051	285
1566	442
638	170
1241	390
320	501
1193	392
2112	326
1981	196
1044	342
1022	466
2953	433
2911	293
2051	484
2253	474
195	205
267	512
2189	381
1968	478
1233	366
1772	480
1459	509
2328	152
2395	326
870	485
1991	350
1978	596
1683	414
912	465
2090	384
994	545
670	535
1070	217
977	492
802	216
2426	139
2923	249
2163	199
352	254
1419	97
1083	256
1417	120
2356	253
1712	389
2949	125
1890	566
2122	427
678	230
2621	322
1505	480
1988	311
1597	91
1485	255
1653	104
1191	185
1232	238
336	205
2525	439
2523	402
1492	252
2943	221
1316	199
1480	153
1238	210
1445	127
1722	305
2054	441
2042	381
2011	564
1574	475
596	431
694	463
606	525
1194	460
991	290
274	313
1508	185
1725	218
1942	422
1175	374
1587	223
2845	333
2325	218
1129	388
2447	105
848	280
1832	167
1183	409
2362	584
428	458
1295	540
1421	418
431	119
741	292
492	326
1775	154
2281	290
1538	547
2448	514
2463	473
251	519
295	526
1180	245
1627	534
2253	382
264	190
1351	99
345	161
435	85
273	223
1818	447
831	474
2813	245
1170	515
1545	263
968	396
1053	116
2786	581
565	541
284	503
2457	241
929	234
2681	611
2352	303
2501	524
1124	246
260	497
1890	240
2416	280
823	218
2013	167
2592	460
592	530
2939	529
1546	242
1012	423
1539	342
2015	538
2100	462
1019	409
917	543
2782	513
1683	458
2658	521
1722	415
1893	242
1891	152
1343	144
2833	175
1986	105
401	205
1275	164
409	393
1977	271
1357	457
1951	563
1074	512
373	321
1419	317
1314	257
821	204
594	200
2954	329
2083	233
2188	244
1607	132
1306	510
1832	142
1243	356
2442	129
863	273
178	84
2172	506
2902	469
2345	404
2584	143
2090	385
2194	412
2040	110
1934	184
2763	491
552	145
1971	348
2042	375
725	365
2591	357
206	420
1720	243
1092	92
1092	215
2088	501
972	564
1528	202
2842	503
2364	457
1451	195
1456	241
1774	483
416	292
450	535
591	161
1620	231
2708	370
2939	507
1368	410
2713	413
458	462
1784	384
927	272
2021	215
2743	396
2461	582
1469	101
386	207
219	53
2225	278
2418	505
1238	466
495	527
869	142
1336	197
2008	514
268	321
2844	382
603	555
942	188
1759	558
2450	518
2704	594
1663	109
2238	580
1351	201
599	166
2270	522
2033	407
1566	416
453	61
921	243
1032	160
2987	351
661	98
653	524
2160	582
2871	225
2504	413
1629	268
2331	330
2034	156
1955	307
1222	187
2124	457
2588	565
2461	562
1014	366
1953	542
2850	281
1551	568
2667	390
1168	145
2409	237
2076	386
2987	155
2064	308
597	167
1698	123
1736	342
363	489
2871	266
1908	217
1297	536
2610	142
1790	425
1636	372
2291	270
2396	454
874	201
1469	441
1662	390
2090	256
2403	528
1951	355
1997	429
856	384
1340	439
1892	552
1611	462
530	110
958	317
181	263
1022	559
388	360
1267	427
1652	69
2487	182
1899	481
563	396
1012	466
897	433
1873	165
630	342
1048	172
670	509
1906	282
242	261
1809	199
1196	433
1144	239
505	394
1989	420
934	333
1768	155
2264	259
1874	244
