X_daily_mean_temperature_C	Y_daily_mean_ozone_ug_m3
20.0	56.0
19.7	50.0
19.9	51.0
17.4	42.0
15.9	45.0
16.8	53.0
18.2	66.0
19.9	46.0
19.8	44.0
19.5	59.0
15.4	15.0
14.8	9.0
16.4	21.0
15.0	33.0
14.9	50.0
16.5	59.0
17.4	51.0
18.4	43.0
18.7	79.0
15.1	54.0
10.9	54.0
11.8	53.0
14.0	70.0
16.7	84.0
18.3	68.0
18.8	71.0
17.1	80.0
15.3	45.0
9.1	34.0
10.7	41.0
10.6	40.0
11.9	50.0
13.4	47.0
15.2	50.0
17.3	66.0
17.6	93.0
16.6	92.0
14.2	62.0
18.2	83.0
18.4	74.0
19.2	72.0
19.6	69.0
16.7	94.0
19.9	72.0
19.9	96.0
18.5	90.0
17.4	32.0
18.4	48.0
19.2	52.0
19.9	69.0
18.5	83.0
18.5	85.0
19.6	90.0
18.8	17.0
19.9	71.0
18.4	65.0
18.9	50.0
19.9	49.0
19.8	89.0
17.8	53.0
18.9	72.0
19.3	30.0
19.5	59.0
19.6	35.0
16.1	39.0
19.0	63.0
17.4	73.0
18.0	73.0
18.1	92.0
19.1	119.0
19.2	85.0
19.9	93.0
17.9	89.0
17.2	71.0
19.3	29.0
19.9	63.0
19.9	69.0
19.6	63.0
15.0	26.0
12.0	19.0
15.3	20.0
18.1	40.0
18.0	84.0
18.4	72.0
18.3	87.0
17.8	81.0
18.0	94.0
18.4	67.0
15.8	42.0
16.1	75.0
17.0	57.0
16.6	85.0
17.9	100.0
18.8	109.0
17.8	89.0
17.3	27.0
17.1	52.0
17.6	76.0
17.9	81.0
19.4	42.0
19.7	36.0
18.6	63.0
19.2	69.0
19.8	65.0
18.8	79.0
18.1	42.0
16.0	41.0
14.3	40.0
15.6	45.0
13.4	18.0
15.2	49.0
16.0	81.0
16.4	53.0
17.1	37.0
16.1	41.0
17.0	43.0
18.6	72.0
18.7	69.0
17.2	44.0
17.0	42.0
17.6	80.0
16.9	99.0
15.6	87.0
15.9	81.0
8.5	39.0
10.7	25.0
12.1	40.0
12.6	39.0
15.3	52.0
16.8	61.0
17.6	74.0
18.9	111.0
19.5	138.0
17.5	102.0
18.7	103.0
17.7	36.0
17.6	64.0
19.1	73.0
19.0	77.0
18.7	98.0
18.5	55.0
20.0	50.0
16.5	16.0
19.2	16.0
17.9	23.0
17.1	30.0
18.7	38.0
19.9	58.0
19.6	44.0
18.4	57.0
16.7	63.0
16.2	50.0
14.5	45.0
12.5	34.0
14.6	23.0
17.5	61.0
17.2	75.0
17.1	69.0
16.9	71.0
16.2	97.0
16.3	110.0
16.9	110.0
17.7	94.0
16.8	69.0
15.5	60.0
16.9	45.0
18.7	56.0
17.4	57.0
19.8	64.0
19.1	77.0
18.6	99.0
19.7	65.0
18.1	59.0
18.4	19.0
12.3	30.0
14.3	45.0
16.1	48.0
17.6	45.0
16.9	84.0
18.8	67.0
18.8	45.0
14.7	66.0
12.5	75.0
15.7	56.0
15.4	66.0
12.9	85.0
12.8	86.0
15.0	75.0
16.9	95.0
19.9	79.0
19.4	97.0
17.9	86.0
19.2	41.0
18.5	69.0
19.5	58.0
18.7	52.0
18.5	38.0
16.8	85.0
18.7	89.0
17.8	108.0
16.9	97.0
18.2	90.0
19.8	99.0
17.1	77.0
17.8	93.0
19.7	81.0
19.8	112.0
18.6	129.0
19.7	134.0
19.7	114.0
18.6	59.0
18.7	65.0
18.8	77.0
19.5	78.0
20.0	46.0
18.9	41.0
16.8	15.0
13.6	32.0
10.5	56.0
11.0	50.0
14.9	78.0
16.6	80.0
18.7	65.0
19.4	79.0
19.9	130.0
18.7	92.0
18.8	68.0
17.0	82.0
18.8	79.0
19.9	128.0
19.1	114.0
18.9	86.0
18.9	111.0
19.6	107.0
18.7	98.0
19.2	78.0
15.0	34.0
9.2	38.0
12.3	30.0
15.0	35.0
15.5	35.0
13.7	34.0
15.9	38.0
18.3	54.0
19.6	60.0
19.8	52.0
16.8	35.0
14.4	43.0
17.4	62.0
18.1	92.0
19.5	70.0
18.2	31.0
17.6	42.0
18.3	72.0
13.3	38.0
12.0	36.0
16.1	64.0
19.7	60.0
18.7	31.0
18.8	70.0
16.6	104.0
16.0	82.0
19.3	73.0
19.8	105.0
18.1	18.0
19.2	22.0
19.2	58.0
19.2	76.0
18.8	77.0
19.0	85.0
19.7	121.0
18.7	53.0
19.5	60.0
18.5	63.0
17.9	76.0
18.6	85.0
14.9	90.0
15.8	105.0
16.5	73.0
17.4	77.0
18.5	61.0
19.2	74.0
16.9	92.0
15.4	120.0
17.7	96.0
17.8	117.0
19.1	77.0
18.8	107.0
18.8	91.0
18.2	106.0
17.8	112.0
17.7	102.0
15.1	73.0
14.0	83.0
14.5	89.0
18.2	82.0
19.5	90.0
16.2	89.0
15.5	110.0
16.2	109.0
17.2	55.0
17.8	90.0
17.4	128.0
18.6	113.0
19.2	69.0
18.5	95.0
17.9	93.0
13.9	70.0
15.8	90.0
18.1	93.0
19.5	69.0
18.5	65.0
15.8	43.0
14.7	45.0
15.7	76.0
17.4	74.0
15.5	45.0
14.0	56.0
14.5	75.0
15.9	82.0
18.8	41.0
18.1	54.0
16.8	60.0
18.5	48.0
18.9	109.0
18.0	128.0
17.2	89.0
17.1	83.0
16.6	76.0
16.8	43.0
15.4	58.0
17.8	46.0
18.7	80.0
19.6	36.0
14.5	20.0
