SWC_1_1_1	LE
25.5	114.8
25.5	178.6
25.5	155.6
25.2	93.7
25.4	297.1
25.3	215.9
24.9	308.9
24.8	242.6
24.8	139.5
29.3	183.9
28.5	263.7
28.3	319.6
28.3	278.2
27.9	206.1
27.8	130.8
28.1	96.3
28.1	114.0
27.6	279.1
27.6	315.9
27.6	275.6
27.3	113.5
27.1	258.5
26.9	374.2
25.3	250.5
25.3	121.2
28.5	97.6
27.7	226.9
27.4	55.4
27.5	225.5
29.5	96.7
29.3	179.5
28.8	125.5
28.6	104.5
28.3	138.2
28.2	209.2
28.0	58.2
27.3	142.3
27.3	115.2
26.8	100.2
26.7	45.8
26.1	89.8
25.7	81.7
25.5	78.9
25.1	50.8
25.1	52.3
24.9	57.3
25.0	49.1
28.9	91.9
28.9	78.5
28.8	24.4
30.0	93.9
29.6	44.0
29.8	61.8
29.6	38.4
29.5	65.3
29.5	79.4
29.1	48.4
29.1	29.8
29.0	60.1
28.9	54.0
28.8	49.6
28.6	48.7
28.6	37.3
28.5	52.0
28.5	152.1
28.4	43.9
28.4	22.0
28.4	26.1
28.6	32.8
28.5	35.4
28.3	24.7
28.2	31.0
28.1	21.5
29.9	52.8
30.0	49.9
28.9	33.7
28.9	35.6
29.1	36.0
29.2	55.3
29.2	22.5
29.2	29.2
29.0	49.8
29.3	32.1
29.0	44.6
29.1	29.9
29.0	37.1
29.0	45.1
29.2	43.9
29.0	28.7
29.3	14.3
29.4	22.3
29.4	23.6
29.3	57.1
29.6	28.9
29.4	85.2
29.4	77.4
29.2	85.2
29.2	82.0
29.2	117.3
29.6	138.3
29.5	176.2
28.8	141.6
28.7	44.8
30.0	222.0
29.5	59.8
29.5	267.6
29.3	312.3
29.2	226.3
29.4	151.2
29.1	241.8
29.8	205.8
28.9	276.3
28.7	273.4
28.7	139.6
28.7	149.5
28.9	29.6
29.7	89.4
29.4	278.0
28.7	314.6
28.7	333.5
28.4	509.7
28.2	333.3
28.2	301.5
28.0	348.9
29.4	115.6
28.4	153.3
28.2	142.6
28.2	258.2
28.0	520.6
27.9	493.8
27.9	620.0
27.9	263.8
29.3	299.4
28.9	243.6
28.2	174.8
28.3	55.7
28.2	123.7
28.6	250.0
29.6	38.7
29.5	92.8
29.6	106.1
29.8	45.0
29.8	53.0
29.8	98.6
29.6	50.8
30.0	101.8
29.9	65.1
30.0	39.2
29.9	9.2
29.9	36.3
29.3	3.8
29.4	40.8
29.2	40.3
29.2	34.4
29.2	33.9
29.5	87.6
29.4	128.3
29.2	59.9
29.2	56.4
29.5	95.1
29.4	114.4
29.9	50.2
29.8	84.6
29.7	80.1
29.5	116.5
29.1	113.6
29.1	76.0
29.0	103.6
28.8	122.7
30.0	275.1
29.4	139.4
29.8	278.4
29.4	167.8
29.3	209.3
29.2	360.0
29.2	279.8
29.4	158.6
29.2	198.4
29.2	161.7
29.7	319.8
29.7	220.0
29.9	447.3
29.5	213.9
29.5	251.8
29.6	155.0
29.4	71.5
29.4	116.5
29.4	62.7
29.3	52.7
29.4	109.1
29.6	79.4
29.4	43.9
29.4	55.1
29.4	45.2
29.8	34.2
29.7	43.6
29.7	28.5
30.0	39.9
29.8	20.4
29.8	26.0
30.0	25.8
29.9	60.7
29.8	33.0
29.6	35.0
29.6	23.7
30.0	116.3
29.9	75.6
29.7	120.4
29.7	76.3
29.7	62.6
29.6	76.8
29.6	70.2
29.4	103.5
29.7	123.1
29.6	91.7
29.5	93.5
29.9	220.4
29.9	263.3
29.8	149.9
29.8	195.9
29.7	280.7
29.9	237.2
30.0	408.9
29.8	340.5
29.7	381.4
29.7	276.8
29.7	135.6
30.0	225.7
29.8	250.6
29.7	111.4
29.7	355.6
29.6	251.9
30.0	63.4
29.7	343.0
29.7	316.3
29.6	404.2
29.6	95.0
30.0	142.1
29.9	98.8
29.9	63.7
29.8	78.6
29.8	65.1
29.8	103.5
29.7	99.7
29.9	71.0
30.0	131.3
29.9	142.0
30.0	156.0
29.8	177.1
29.8	112.1
29.9	158.9
30.0	157.5
29.9	122.2
29.8	289.3
29.8	188.5
29.7	104.3
30.0	258.7
29.9	277.8
29.8	268.9
29.8	300.8
29.8	305.3
29.7	75.5
30.0	285.9
30.0	340.8
29.9	313.8
29.7	259.1
29.9	508.6
30.0	174.3
29.9	178.7
29.8	447.8
29.8	346.7
29.8	134.9
29.8	324.0
29.8	358.4
29.8	224.5
30.0	237.2
29.9	143.3
30.0	168.1
30.0	69.2
29.9	186.5
29.8	331.4
29.8	352.3
29.8	304.9
29.8	284.2
30.0	64.8
30.0	57.4
29.9	52.5
29.9	54.6
29.9	84.5
29.9	50.1
29.9	31.5
29.7	62.2
29.7	51.3
29.7	54.1
29.7	59.7
29.7	56.4
