windspeed	OzonConcentration
1.81	3.63
1.4	2.4
1.3	4.1
2.0	2.8
1.8	2.1
1.1	3.2
2.0	3.5
1.1	1.1
1.1	1.9
1.88	2.08
1.78	2.82
2.0	2.94
1.78	2.01
1.74	2.04
1.99	3.08
1.77	2.13
1.61	6.94
1.64	1.12
1.88	0.96
1.69	2.59
1.92	2.61
1.65	2.2
1.98	3.59
1.37	2.36
1.77	3.32
1.64	1.68
0.88	1.25
1.76	1.54
1.8	1.8
1.9	2.8
2.0	3.7
1.1	4.3
1.7	1.5
1.8	1.7
2.0	3.5
1.2	1.9
1.8	3.6
2.0	2.7
1.6	2.7
1.71	2.74
2.0	1.61
1.91	3.12
1.73	3.76
1.69	4.82
1.64	3.55
1.68	1.49
1.56	3.26
1.71	3.19
1.84	4.11
1.51	4.21
1.58	3.19
1.62	2.09
1.88	5.68
1.95	1.22
1.46	2.52
1.98	2.11
1.36	1.45
1.98	2.94
1.21	2.14
1.84	2.87
1.33	1.94
1.01	2.33
1.31	3.61
124.8	109.7
98.8	109.9
124.0	97.4
73.5	40.3
86.9	138.5
76.7	113.3
74.6	93.6
77.2	117.4
74.8	125.4
21.5	98.2
40.4	31.9
20.7	24.2
23.6	36.9
72.75	67.47
67.8	59.06
104.5	113.06
87.81	154.44
107.44	89.44
134.38	131.56
94.25	94.71
64.47	25.24
39.75	29.71
23.56	42.94
35.35	2.88
49.35	50.47
51.18	50.06
123.29	147.88
83.31	139.44
107.47	175.92
127.13	126.19
134.59	89.94
142.38	141.75
134.82	73.12
170.54	126.29
96.31	50.06
67.41	117.76
40.88	81.88
9.18	22.18
161.5	125.2
126.8	112.9
141.7	131.3
135.3	130.7
148.4	145.6
79.3	95.5
88.1	151.9
120.4	39.3
127.3	130.1
66.8	52.3
171.4	135.1
139.7	98.1
139.9	122.5
138.9	124.8
93.1	80.7
53.4	50.4
79.2	81.8
99.5	60.8
40.2	87.0
60.47	112.18
123.35	133.12
88.71	160.76
90.56	69.81
195.88	174.75
70.53	70.12
66.82	94.41
101.69	76.5
66.0	64.18
124.06	116.75
126.35	129.82
188.25	148.38
64.88	71.0
58.41	35.2
59.0	34.29
11.94	34.41
19.63	10.53
86.24	17.5
77.06	72.76
86.25	101.13
80.18	82.29
59.38	77.38
145.93	108.0
82.59	153.29
135.94	165.38
135.25	140.5
99.5	161.29
136.59	88.53
91.53	147.63
35.88	133.18
75.0	36.29
83.63	91.94
77.0	70.94
33.77	64.38
20.5	33.94
8.25	24.0
56.25	36.56
4.3	37.94
2.7	3.1
5.3	2.9
2.1	1.9
4.5	3.5
4.2	1.0
4.0	1.0
2.6	2.2
5.0	1.4
3.41	3.35
3.1	1.96
3.18	2.07
2.11	3.39
2.2	2.69
3.71	1.79
2.31	1.47
3.5	3.62
2.94	3.18
2.11	1.09
2.16	2.23
4.81	3.94
4.21	7.46
3.1	5.03
4.78	1.95
5.06	7.8
5.91	4.54
3.86	4.56
3.39	1.91
6.45	3.91
5.62	1.52
2.21	1.38
5.18	2.0
2.07	1.12
2.56	3.06
2.7	4.5
3.7	4.8
3.8	1.9
2.7	2.7
4.0	3.5
4.5	4.0
2.5	2.5
2.7	2.5
3.8	2.3
3.6	4.0
2.2	2.3
2.5	2.2
2.4	1.6
4.0	3.77
2.47	2.87
3.28	2.25
3.09	3.21
2.94	5.54
4.16	2.89
3.34	3.68
6.26	6.17
2.04	1.95
4.74	5.86
3.69	1.51
2.34	2.92
2.01	5.14
3.55	1.62
2.42	3.8
4.55	1.49
2.7	2.08
2.69	2.95
3.45	2.94
2.85	3.89
3.44	3.45
5.64	4.92
2.74	2.61
2.38	2.35
3.71	2.28
4.06	2.56
2.32	5.03
2.9	2.05
2.83	1.83
5.04	1.76
2.14	1.13
658.9	601.5
135.7	532.4
522.5	515.7
516.8	569.9
612.8	486.9
586.4	679.5
565.7	571.6
249.1	542.1
446.1	362.8
583.4	475.0
411.3	489.5
310.8	115.4
178.7	185.8
290.3	409.8
282.8	261.8
409.1	442.1
383.1	275.5
157.7	26.5
300.5	166.3
59.7	212.8
172.6	242.1
527.88	444.24
107.12	240.35
90.76	507.47
146.35	301.35
584.59	336.47
606.53	319.19
611.59	574.76
507.65	377.88
174.12	472.71
335.24	302.71
163.76	235.0
273.76	235.65
354.69	236.94
219.35	304.94
133.71	258.06
222.38	292.18
94.65	123.82
63.65	86.59
569.12	310.59
134.88	181.35
444.12	411.12
517.12	585.65
255.06	228.76
554.47	485.71
637.12	392.18
473.18	303.82
592.69	626.19
621.82	603.41
527.18	301.41
607.0	564.59
283.0	443.76
457.82	329.29
437.12	535.18
481.47	505.47
362.41	324.47
467.65	511.88
138.41	136.35
277.59	172.0
142.59	219.47
201.76	261.29
366.2	428.6
359.5	583.9
365.3	360.2
441.4	259.9
612.9	461.9
437.3	527.9
180.9	227.5
525.1	343.5
552.6	369.8
538.8	457.6
405.8	367.6
443.5	510.0
166.9	298.9
391.1	371.1
506.1	113.0
99.6	418.3
381.8	414.1
370.6	356.3
242.5	51.0
167.4	275.1
212.2	156.0
212.2	53.8
87.24	523.94
552.06	538.59
549.18	343.29
383.35	620.35
436.82	241.29
627.06	633.12
357.88	458.82
412.59	482.94
370.12	320.56
536.59	417.29
496.0	573.65
498.06	399.41
209.82	345.59
160.93	285.41
253.88	86.82
282.47	119.35
74.41	77.94
571.24	583.41
574.0	395.94
341.76	560.94
245.82	480.53
306.0	564.82
368.24	438.65
500.41	337.0
518.63	561.87
448.88	587.65
526.47	434.12
234.53	508.76
425.24	396.0
438.59	536.94
404.4	513.18
47.71	197.53
223.76	123.0
226.94	148.71
292.4	335.0
264.59	197.88
151.13	112.24
50.35	150.76
25.1	23.1
26.0	25.0
21.8	20.3
25.4	26.8
13.5	17.3
21.3	21.0
24.6	24.4
18.7	14.7
18.0	20.5
14.6	12.8
9.0	9.4
10.5	11.8
19.0	20.6
16.37	16.53
17.21	26.57
18.39	19.02
15.49	15.59
18.25	22.01
19.22	22.06
22.92	17.63
26.82	24.13
14.58	12.95
17.11	18.24
15.27	20.9
16.12	17.62
10.99	9.91
9.95	9.71
21.97	21.96
14.65	17.21
18.61	17.52
21.81	22.85
29.81	16.29
30.88	30.52
29.92	26.94
18.96	26.86
21.84	22.89
25.22	22.41
27.14	26.8
20.61	20.66
22.45	32.05
28.0	26.96
20.46	16.76
23.45	20.7
14.62	12.22
15.02	12.52
16.01	18.11
8.68	8.76
15.9	13.3
20.5	20.0
17.5	18.0
24.3	23.1
22.0	22.8
24.7	21.7
21.4	19.7
17.9	25.6
21.6	15.5
26.4	18.6
29.1	22.9
14.1	23.9
12.1	10.4
19.4	17.2
21.7	20.0
22.6	21.5
14.2	16.8
14.9	15.2
13.5	11.0
12.3	10.9
9.8	7.1
4.9	6.7
16.3	15.46
23.28	17.82
27.4	20.07
