CoralCover	MacroalgaeCover
5.0	88.0
5.3	87.8
5.6	87.6
5.9	87.4
6.2	87.2
6.5	87.0
6.8	86.8
7.1	86.6
7.4	86.4
7.7	86.2
8.0	86.0
8.3	85.8
8.6	85.6
8.9	85.4
9.2	85.2
9.5	85.0
9.8	84.8
10.1	84.6
10.4	84.4
10.7	84.2
11.0	84.0
11.3	83.8
11.6	83.6
11.9	83.4
12.2	83.2
12.5	83.0
12.8	82.8
13.1	82.6
13.4	82.4
13.7	82.2
14.0	82.0
14.3	81.7
14.6	81.4
14.9	81.1
15.2	80.8
15.5	80.5
15.8	80.2
16.1	79.9
16.4	79.6
16.7	79.3
17.0	79.0
17.3	78.7
17.6	78.4
17.9	78.1
18.2	77.8
18.5	77.5
18.8	77.2
19.1	76.9
19.4	76.6
19.7	76.3
20.0	76.0
20.3	75.4
20.6	74.8
20.9	74.2
21.2	73.6
21.5	73.0
21.8	72.4
22.1	71.8
22.4	71.2
22.7	70.6
23.0	70.0
23.3	69.2
23.6	68.4
23.9	67.6
24.2	66.8
24.5	66.0
24.8	65.2
25.1	64.4
25.4	63.6
25.7	62.8
26.0	62.0
26.3	61.2
26.6	60.4
26.9	59.6
27.2	58.8
27.5	58.0
27.8	57.2
28.1	56.4
28.4	55.6
28.7	54.8
29.0	54.0
29.3	53.2
29.6	52.4
29.9	51.6
30.2	50.8
30.5	50.0
30.8	49.5
31.1	49.0
31.4	48.5
31.7	48.0
32.0	47.5
32.3	47.0
32.6	46.5
32.9	46.0
33.2	45.5
33.5	45.0
33.8	44.5
34.1	44.0
34.4	43.5
34.7	43.0
35.0	42.5
35.3	42.0
35.6	41.5
35.9	41.0
36.2	40.5
36.5	40.0
36.8	39.6
37.1	39.2
37.4	38.8
37.7	38.4
38.0	38.0
38.3	37.6
38.6	37.2
38.9	36.8
39.2	36.4
39.5	36.0
39.8	35.6
40.1	35.2
40.4	34.8
40.7	34.4
41.0	34.0
41.3	33.6
41.6	33.2
41.9	32.8
42.2	32.4
42.5	32.0
42.8	31.6
43.1	31.2
43.4	30.8
43.7	30.4
44.0	30.0
44.3	29.8
44.6	29.6
44.9	29.4
45.2	29.2
45.5	29.0
45.8	28.8
46.1	28.6
46.4	28.4
46.7	28.2
47.0	28.0
47.3	27.8
47.6	27.6
47.9	27.4
48.2	27.2
48.5	27.0
48.8	26.8
49.1	26.6
49.4	26.4
49.7	26.2
50.0	26.0
50.3	25.8
50.6	25.6
50.9	25.4
51.2	25.2
51.5	25.0
51.8	24.8
52.1	24.6
52.4	24.4
52.7	24.2
53.0	24.0
53.3	23.8
53.6	23.6
53.9	23.4
54.2	23.2
54.5	23.0
54.8	22.8
55.1	22.6
55.4	22.4
55.7	22.2
56.0	22.0
56.3	21.8
56.6	21.6
56.9	21.4
57.2	21.2
57.5	21.0
57.8	20.8
58.1	20.6
58.4	20.4
58.7	20.2
