Fertility_rate	Human_Development_Index
7.576	0.285
7.631	0.291
7.703	0.301
7.761	0.311
7.767	0.305
7.767	0.329
7.757	0.334
7.732	0.338
7.693	0.338
7.641	0.347
7.566	0.351
7.453	0.355
7.32	0.383
7.174	0.392
7.018	0.408
6.858	0.417
6.686	0.426
6.508	0.442
6.392	0.446
6.295	0.458
6.195	0.465
6.094	0.474
5.985	0.484
5.879	0.492
5.77	0.497
5.652	0.496
5.542	0.495
5.433	0.496
5.327	0.498
5.238	0.507
5.145	0.501
5.039	0.486
4.932	0.495
4.84	0.496
5.163395	0.4245854
5.1212306	0.4292593
5.077554	0.43494922
5.0463595	0.44065332
5.024296	0.44817433
5.008381	0.461668
4.9844913	0.46813595
4.958	0.4750963
4.940453	0.49759457
4.901526	0.5021216
4.867296	0.513888
4.8215	0.52003187
4.7755494	0.5260907
4.719344	0.53123987
4.6693907	0.5367227
4.6089773	0.5425902
4.529488	0.5466387
4.464824	0.5504002
4.3739967	0.5558327
4.296659	0.56035364
4.2252116	0.5594648
4.1632905	0.56110394
4.1089277	0.5714846
4.0555434	0.5760591
3.014	0.654
2.956	0.638
2.885	0.622
2.811	0.624
2.798	0.629
2.762	0.638
2.666	0.647
2.535	0.645
2.425	0.659
2.313	0.671
2.217	0.682
2.141	0.691
2.002	0.697
2.006	0.705
1.889	0.71
1.787	0.723
1.686	0.732
1.633	0.742
1.616	0.749
1.638	0.756
1.653	0.769
1.677	0.781
1.719	0.79
1.741	0.793
1.721	0.797
1.631	0.797
1.555	0.797
1.486	0.798
1.415	0.801
1.395	0.805
1.371	0.794
1.365	0.794
1.355	0.806
1.348	0.81
4.509	0.595
4.366	0.596
4.274	0.601
4.076	0.603
3.914	0.603
3.487	0.608
3.139	0.615
2.886	0.624
2.691	0.634
2.62	0.643
2.59	0.651
2.519	0.659
2.429	0.669
2.451	0.677
2.5	0.685
2.562	0.692
2.628	0.698
2.704	0.704
2.785	0.711
2.825	0.714
2.875	0.718
2.899	0.718
2.996	0.723
2.997	0.727
3.084	0.732
3.091	0.737
3.091	0.743
3.09	0.746
3.019	0.749
2.997	0.753
2.94	0.742
2.87	0.755
2.817	0.761
2.766	0.763
1.273	0.825
1.305	0.832
1.265	0.838
1.18	0.84
1.229	0.849
1.224	0.842
1.234	0.851
1.189	0.859
1.25	0.864
1.208	0.866
1.275	0.87
1.321	0.875
1.26	0.876
1.142	0.862
1.168	0.866
1.223	0.869
1.184	0.872
1.129	0.873
1.053	0.875
1.045	0.876
1.028	0.851
1.058	0.871
1.071	0.893
1.082	0.913
6.683	0.379
6.639	0.391
6.601	0.401
6.567	0.417
6.533	0.435
6.499	0.448
6.461	0.463
6.419	0.475
6.372	0.492
6.32	0.504
6.26	0.517
6.194	0.528
6.12	0.545
6.039	0.557
5.953	0.567
5.864	0.577
5.774	0.603
5.686	0.609
5.6	0.61
5.519	0.611
5.442	0.611
5.371	0.61
5.304	0.609
5.209	0.615
5.124	0.616
1.86	0.827
2.042	0.83
2.006	0.827
1.785	0.828
1.746	0.828
1.655	0.833
1.537	0.835
1.526	0.837
1.567	0.839
1.458	0.842
1.485	0.845
1.371	0.85
1.468	0.851
1.569	0.84
1.58	0.843
1.58	0.848
1.578	0.851
3.034	0.733
3.012	0.739
2.987	0.743
