fertilizer_kg	crop_yield
1006	404
112	115
702	231
299	537
2733	554
1891	556
547	257
1911	158
940	360
689	327
1253	397
2190	536
619	267
1136	211
824	531
2770	276
1087	369
902	550
2682	537
2449	486
626	546
1765	314
1238	110
559	519
2979	262
2652	422
1031	312
2086	425
424	144
678	61
2908	312
2998	289
1637	254
2649	428
2100	271
2481	414
2431	248
574	117
1177	500
1581	471
1702	359
1543	135
731	216
802	113
2556	516
1081	373
1427	180
2058	258
658	382
321	109
1656	443
2305	430
447	356
1282	279
988	71
1021	519
1358	542
2809	384
504	115
1380	332
776	229
688	142
1720	225
2705	256
2626	391
2634	572
1694	582
665	87
2671	442
803	461
2968	174
957	468
1384	354
684	513
2833	297
331	197
2417	420
1345	351
151	150
2263	571
637	180
640	515
1142	509
914	231
1515	471
2938	110
1752	439
2765	123
518	135
2456	340
963	567
285	324
360	101
1651	338
1396	305
2307	276
861	528
323	432
1379	169
279	510
2167	531
1747	442
731	72
1636	349
2205	191
2870	340
2063	498
714	378
661	104
2521	569
721	304
2235	585
1113	503
2161	488
2280	532
2060	293
1157	269
691	324
682	225
1713	510
1201	103
388	362
1668	113
1543	384
106	71
1283	517
339	495
2086	118
1546	335
2683	380
1849	219
2217	95
2003	352
2363	474
1177	206
2953	602
2477	394
947	472
1411	260
2192	269
2976	361
2345	105
1339	330
1604	176
1432	167
2479	368
795	360
126	108
2465	182
2512	310
1059	199
1626	229
1968	171
472	373
2049	531
344	472
1940	102
1776	196
2625	262
224	430
636	97
2853	460
2019	405
1735	484
1525	379
1640	351
630	465
2933	585
353	355
2268	257
760	149
1901	138
1160	375
1465	91
1136	122
1306	347
2235	211
2193	304
1242	480
1654	351
1855	572
2065	170
844	225
1729	407
1066	329
862	329
2909	262
893	532
843	166
1169	277
1631	417
657	220
2094	388
625	96
2744	345
939	113
102	226
1151	179
1504	139
256	449
2037	521
2054	385
610	472
786	369
1237	468
1512	519
1610	348
670	508
814	154
1438	426
2386	208
2450	587
2754	174
1090	141
433	432
2260	131
1744	494
461	302
1980	475
2948	508
2244	201
2081	214
2163	336
2703	186
2077	406
475	80
841	402
489	488
2767	484
1340	116
923	255
2467	396
2343	446
517	392
706	116
667	351
643	366
2378	541
983	477
2668	202
802	236
1323	587
2993	449
2820	545
1722	552
2168	355
2735	550
1886	269
1719	258
1557	152
2518	310
1683	172
2014	290
177	214
1408	86
747	181
2287	345
652	533
1097	354
381	139
1381	201
1946	538
1483	335
2587	555
2417	390
1257	315
2893	367
203	281
865	220
2242	592
2876	166
1696	152
579	194
2927	436
2160	369
2063	456
2748	491
2242	392
2440	334
2172	411
1395	373
1628	224
1289	419
1038	166
861	554
753	50
1769	145
2785	385
2638	372
2031	357
1226	559
2025	369
674	512
2441	538
1429	199
1377	161
1303	216
139	137
2923	552
619	261
1739	517
2693	446
2383	168
562	224
1351	364
1948	295
582	94
2577	557
442	294
1296	237
1562	535
1302	137
1721	188
2280	199
2498	122
2653	576
2231	416
1092	421
2977	108
2490	400
1289	152
2440	563
1703	197
1293	486
697	213
744	136
547	473
2837	164
2649	454
863	450
834	67
1742	226
2397	573
700	374
2272	523
2260	444
1080	178
1882	180
2297	261
2490	448
679	90
882	253
2468	316
2969	507
631	166
1612	405
2639	369
711	197
2399	83
2105	474
1200	326
1770	190
1515	549
1535	181
2320	134
974	370
2348	148
316	457
475	198
1709	519
110	534
1713	435
2582	397
917	315
1396	155
790	405
1699	293
1632	193
1255	465
2047	332
883	285
2466	366
2991	193
2072	86
1976	264
2768	462
884	284
496	361
1181	141
1603	219
2133	318
1714	252
559	176
2208	279
2516	308
2866	159
645	469
2643	545
596	84
604	394
1192	432
2308	516
1737	112
817	333
1692	427
1508	320
368	238
2046	130
1577	348
2846	121
1641	205
964	346
2497	500
209	164
2554	485
749	370
2198	280
1599	440
1210	368
695	566
1078	261
830	494
156	541
2885	340
2343	264
1883	445
1801	567
1386	198
211	153
2912	545
810	454
1301	462
1047	74
125	335
2557	342
857	117
2678	213
1900	253
1655	530
2896	267
1941	145
2393	151
1204	312
761	561
1008	326
2543	576
621	413
1956	475
1859	549
2411	401
889	59
1397	284
1829	273
271	225
364	250
2086	180
1149	233
1592	572
1985	407
575	338
2503	135
1149	123
133	237
2411	414
1261	299
915	476
853	52
665	203
561	315
1754	494
2802	278
180	375
2904	165
2037	389
969	534
1530	231
1169	510
698	286
1734	323
906	147
2034	168
1176	391
803	540
2623	341
2739	550
2163	278
586	360
805	569
1625	236
1264	117
719	375
876	323
546	335
2437	530
308	360
1598	176
2560	363
2824	474
1550	456
1977	311
2811	446
2437	522
1391	229
2298	525
1842	404
1378	258
1500	483
1776	439
954	193
1481	413
2755	312
2517	195
804	286
925	185
1104	488
476	358
1072	348
217	228
543	548
854	524
739	116
2271	344
2805	219
1400	149
2969	254
2811	172
2507	144
722	204
1592	422
2108	100
1751	350
1823	172
2019	220
1018	144
1273	127
2599	313
1285	186
219	407
681	347
2047	270
2246	340
1290	490
1786	395
2099	538
2661	533
2811	335
500	75
2512	436
1449	112
