ForestCover	FireFrequency
5.0	19.40
5.4	19.32
5.8	19.24
6.2	19.16
6.6	19.08
7.0	19.00
7.4	18.92
7.8	18.84
8.2	18.76
8.6	18.68
9.0	18.60
9.4	18.52
9.8	18.44
10.2	18.36
10.6	18.28
11.0	18.20
11.4	18.12
11.8	18.04
12.2	17.96
12.6	17.88
13.0	17.80
13.4	17.72
13.8	17.64
14.2	17.56
14.6	17.48
15.0	17.40
15.4	17.32
15.8	17.24
16.2	17.16
16.6	17.08
17.0	17.00
17.4	16.92
17.8	16.84
18.2	16.76
18.6	16.68
19.0	16.60
19.4	16.52
19.8	16.44
20.2	16.36
20.6	16.28
21.0	16.20
21.4	16.12
21.8	16.04
22.2	15.96
22.6	15.88
23.0	15.80
23.4	15.72
23.8	15.64
24.2	15.56
24.6	15.48
25.0	15.40
25.4	15.32
25.8	15.24
26.2	15.16
26.6	15.08
27.0	15.00
27.4	14.92
27.8	14.84
28.2	14.76
28.6	14.68
29.0	14.60
29.4	14.52
29.8	14.44
30.2	14.36
30.6	14.28
31.0	14.20
31.4	14.12
31.8	14.04
32.2	13.96
32.6	13.88
33.0	13.80
33.4	13.72
33.8	13.64
34.2	13.56
34.6	13.48
35.0	13.40
35.4	13.32
35.8	13.24
36.2	13.16
36.6	13.08
37.0	13.00
37.4	12.92
37.8	12.84
38.2	12.76
38.6	12.68
39.0	12.60
39.4	12.52
39.8	12.44
40.2	12.36
40.6	12.28
41.0	12.20
41.4	12.12
41.8	12.04
42.2	11.96
42.6	11.88
43.0	11.80
43.4	11.72
43.8	11.64
44.2	11.56
44.6	11.48
45.0	11.40
45.4	11.32
45.8	11.24
46.2	11.16
46.6	11.08
47.0	11.00
47.4	10.92
47.8	10.84
48.2	10.76
48.6	10.68
49.0	10.60
49.4	10.52
49.8	10.44
50.2	10.15
50.6	10.03
51.0	9.91
51.4	9.79
51.8	9.67
52.2	9.55
52.6	9.43
53.0	9.31
53.4	9.19
53.8	9.07
54.2	8.95
54.6	8.83
55.0	8.71
55.4	8.59
55.8	8.47
56.2	8.35
56.6	8.23
57.0	8.11
57.4	7.99
57.8	7.87
58.2	7.75
58.6	7.63
59.0	7.51
59.4	7.39
59.8	7.27
60.2	7.15
60.6	7.03
61.0	6.91
61.4	6.79
61.8	6.67
62.2	6.55
62.6	6.43
63.0	6.31
63.4	6.19
63.8	6.07
64.2	5.95
64.6	5.83
65.0	5.71
65.4	5.59
65.8	5.47
66.2	5.35
66.6	5.23
67.0	5.11
67.4	4.99
67.8	4.87
68.2	4.75
68.6	4.63
69.0	4.51
69.4	4.39
69.8	4.27
70.2	4.15
70.6	4.03
71.0	3.91
71.4	3.79
71.8	3.67
72.2	3.55
72.6	3.43
73.0	3.31
73.4	3.19
73.8	3.07
74.2	2.95
74.6	2.83
75.0	2.71
75.4	2.59
75.8	2.47
76.2	2.35
76.6	2.23
77.0	2.11
77.4	1.99
77.8	1.87
78.2	1.75
78.6	1.63
79.0	1.51
79.4	1.39
79.8	1.27
80.2	1.15
80.6	1.03
81.0	0.91
81.4	0.79
81.8	0.67
82.2	0.55
82.6	0.43
83.0	0.31
83.4	0.19
83.8	0.07
84.2	0.05
84.6	0.05
