soil_moisture	evapotranspiration
0.3038	1.3999
0.303	2.8079
0.3029	1.2958
0.3022	2.6061
0.3316	1.6221
0.3169	4.2597
0.3105	3.2696
0.3124	3.3382
0.309	3.37
0.3067	1.55
0.3109	2.2238
0.3146	2.2813
0.312	1.6024
0.3064	2.1776
0.3067	3.2183
0.299	1.1524
0.2944	2.4023
0.3018	5.4323
0.3014	3.6838
0.3004	1.9591
0.3028	1.3347
0.3544	3.227
0.3221	3.26
0.31	2.257
0.3033	2.8691
0.2988	2.3769
0.2928	1.2159
0.2941	4.2151
0.3092	1.0483
0.3063	3.6749
0.3015	0.8549
0.297	3.5259
0.2958	2.5117
0.2909	2.0982
0.2949	2.6565
0.2978	2.2784
0.301	3.1022
0.3005	1.2133
0.292	3.8552
0.2845	3.285
0.2897	1.3573
0.2905	5.2318
0.2849	3.0214
0.28	2.8272
0.2752	2.528
0.2731	3.0655
0.2715	2.7352
0.2694	1.6883
0.2659	2.1234
0.2844	2.7153
0.2839	3.2008
0.2846	2.346
0.2849	1.9776
0.2901	2.5795
0.2932	2.5866
0.3092	3.0988
0.3063	2.6585
0.3081	3.0996
0.3059	2.2233
0.2938	2.6381
0.2965	2.2297
0.2993	2.2791
0.2944	2.4113
0.2918	3.3873
0.2983	2.0535
0.3011	1.689
0.3021	2.4485
0.2983	1.6357
0.2893	0.5736
0.2817	0.8162
0.2768	1.9516
0.2842	1.8593
0.2917	1.3937
0.2915	3.0744
0.2932	1.6953
0.2974	1.3769
0.3038	1.9641
0.3037	1.3969
0.3114	2.3523
0.3128	1.8497
0.3171	2.2134
0.3243	2.9243
0.3259	2.2146
0.3237	0.5726
0.3204	1.7232
0.3179	2.2465
0.2903	0.9785
0.2911	1.0148
0.2924	1.4015
0.2924	1.0581
0.2921	1.1808
0.2918	1.0195
0.2944	1.6835
0.2951	1.4525
0.2934	1.2253
0.3099	1.0881
0.3458	2.0677
0.3033	1.1283
0.3089	1.7833
0.3039	0.7672
0.3322	2.1193
0.2987	1.007
0.298	0.948
0.2965	1.1395
0.2963	0.7947
0.2953	0.8745
0.2943	0.9068
0.2928	0.6219
0.2922	0.721
0.2966	1.4755
0.3023	1.9474
0.3147	3.2295
0.3057	3.2586
0.2976	2.5042
0.2911	1.2773
0.2892	3.5037
0.3003	2.4684
0.3091	4.1692
0.3004	3.5285
0.285	1.6141
0.2775	3.7702
0.28	0.9211
0.2736	4.6134
0.2672	3.5481
0.2801	2.9064
0.2902	2.7294
0.2995	3.4671
0.2984	2.3515
0.2962	1.7625
0.2918	4.441
0.2772	2.7947
0.2733	4.3289
0.2737	3.0758
0.2759	2.1968
0.2827	4.2312
0.2768	3.1566
0.2657	3.6514
0.27	3.8212
0.2714	2.5434
0.2591	5.5257
0.2424	4.8248
0.2295	2.878
0.2204	3.5554
0.2157	2.4237
0.211	1.1417
0.2113	1.2007
0.215	4.4437
0.2105	3.8971
0.2058	1.9804
0.2046	1.672
0.2041	4.1148
0.2129	2.2183
0.2417	4.9062
0.236	5.4689
0.2318	3.1594
0.2264	2.598
0.2234	2.7509
0.231	2.4742
0.2371	1.1964
0.2517	2.8839
0.2515	4.0154
0.213	4.3854
0.2074	4.7385
0.2009	3.7306
0.1947	2.4818
0.1897	1.4291
0.189	2.9223
0.1896	2.7408
0.1785	0.7713
0.1738	2.2951
0.1749	1.1238
0.1749	0.5236
0.1695	1.116
0.1773	3.0706
0.1819	2.3239
0.1823	1.4224
0.1811	1.4709
0.1809	0.6243
0.1756	1.4929
0.1719	1.0794
0.1659	2.1098
0.1839	2.1614
0.3007	1.3957
0.3036	1.2943
0.3116	2.2966
0.3098	1.3434
0.3071	0.3428
0.3121	1.6265
0.3077	1.7414
0.3039	1.2243
0.3088	0.8479
0.3069	1.0213
0.3058	1.3924
0.29	1.4376
0.2926	0.7295
0.2881	0.4895
0.2818	0.7003
0.2812	0.711
0.2978	0.6965
0.3021	0.9209
0.3139	1.2096
0.2804	0.2173
0.2798	0.338
0.2794	0.3933
0.2926	0.5012
0.2854	0.1016
0.2874	0.1791
0.2969	1.2961
0.2939	0.4865
0.2913	0.3545
0.2905	0.3841
0.2897	0.1534
0.2904	0.5134
0.2805	0.1474
0.2808	0.1121
0.2896	0.4441
0.2893	0.3457
0.2803	0.1537
0.2821	0.0367
0.3176	0.4883
0.3135	0.6305
0.3106	0.5314
0.3176	1.958
0.3059	0.3875
0.3019	0.4438
0.2956	0.8108
0.2989	1.0005
0.2969	0.8526
0.2949	0.1663
0.2933	1.0276
0.2915	0.4732
0.3008	1.5988
0.2936	0.7809
0.2976	2.7494
0.3312	1.3973
0.297	1.4267
0.2956	0.5974
0.3056	0.7779
0.289	1.682
0.3038	1.4262
0.3077	0.8484
0.2963	1.271
0.2987	2.683
0.3083	1.3146
0.3243	1.7851
0.3192	2.2844
0.3151	2.7286
0.3091	4.3974
0.3038	1.3386
0.2957	3.5577
0.2916	1.9609
0.2886	1.3217
0.2844	3.003
0.282	3.8986
0.2787	0.6923
0.2847	3.0239
0.2899	0.4189
0.2874	3.2094
0.2837	4.4999
0.275	3.9542
0.267	4.9289
0.2574	4.0452
0.2629	2.9715
0.2692	3.8649
0.2794	3.1936
0.2775	1.4635
0.2765	3.1515
0.2697	4.6009
0.275	4.7643
0.2703	3.7966
0.268	4.6586
0.2613	5.974
0.3016	0.648
0.3031	1.0329
0.3055	2.6774
0.3024	3.6769
0.2958	4.3831
0.2903	3.7311
0.2906	4.015
0.2908	4.018
0.29	5.618
0.2815	1.5653
0.2767	4.526
0.2675	7.591
0.2585	7.2689
0.2505	4.5646
0.2409	4.4668
0.2391	3.1541
0.2325	6.955
0.2239	5.9087
0.2179	2.9302
0.1929	5.8709
0.208	3.072
0.2055	6.7942
0.1972	1.8123
0.1904	5.4818
0.1808	3.352
0.1759	2.2297
0.1953	2.0207
0.2167	6.1116
0.2085	3.5822
0.2588	2.3763
0.252	3.8948
0.2495	2.6079
0.2663	4.9059
0.2633	1.3964
0.2814	2.3407
0.2752	0.7726
0.3084	2.1166
0.3022	3.2001
0.3007	2.686
0.2942	3.6681
0.2826	2.2983
0.2927	1.9205
0.2937	1.9822
0.2866	3.183
0.2868	1.0725
0.3007	2.2524
0.316	1.3099
0.3163	2.6691
0.303	3.1836
0.2968	1.6887
0.3193	1.551
0.323	0.6768
0.3222	1.1545
0.2932	0.1788
0.2951	0.5537
0.2965	0.3462
0.2958	0.5881
0.2889	0.3041
0.2942	1.0036
0.2936	0.2417
0.2931	0.1305
0.291	0.1972
0.2911	0.8831
0.2924	0.6118
0.2925	0.3803
0.3022	0.9644
0.2954	0.3564
0.2814	0.0917
0.2786	0.2957
0.2789	0.0843
0.2775	0.1547
0.2953	0.7184
0.297	2.2683
0.2954	0.4677
0.294	0.7243
0.2928	1.0905
0.2896	1.3256
0.2887	1.5018
0.3038	1.4949
0.3317	1.5593
0.3106	2.8419
0.3053	1.8336
0.3193	3.3896
0.3144	2.681
0.3172	1.6099
0.3185	2.2443
0.3196	2.7503
0.315	3.9318
0.3079	3.7909
0.3062	3.8141
0.3026	1.1592
0.2989	2.0678
0.2951	2.3815
0.2937	1.9041
0.2883	1.899
0.2859	3.1802
0.2809	4.74
0.2756	4.7892
0.2779	3.1814
0.2775	2.653
0.3067	2.1462
0.3098	1.4106
0.3101	2.1727
0.3096	3.7557
0.2987	4.7715
0.2954	3.7884
0.2924	3.2516
0.299	0.8734
0.3001	1.8319
0.2969	4.4304
0.2948	4.6901
0.292	4.3142
0.2891	3.0938
0.2796	1.408
0.2687	4.6252
0.2633	5.7185
0.2607	4.4406
0.2601	4.2234
0.2617	2.425
0.2649	1.6143
0.2625	1.3401
0.2567	3.3998
0.2483	5.1464
0.2415	6.1056
0.2339	9.0178
0.2275	5.9605
0.2219	4.6286
0.2168	5.6736
0.2114	5.1818
0.2066	1.3562
0.1971	2.5231
0.1929	4.613
0.1875	5.0469
0.1651	2.5776
0.1586	3.3286
0.1547	3.3934
0.15	3.6572
0.1473	4.6086
0.1436	4.0949
0.1412	3.8148
0.1399	2.018
0.1318	3.2653
0.1279	2.6697
0.1271	2.0981
0.1446	1.653
0.1435	3.6334
0.143	4.1235
0.1403	2.8954
0.1364	4.9765
0.1318	3.1827
0.135	4.625
0.1609	0.6874
0.1597	5.0255
0.1556	4.3993
0.1505	3.3509
0.2024	2.8889
0.26	3.312
0.256	4.14
0.2619	3.8098
0.2581	5.1272
0.2554	4.655
0.253	3.5676
0.2503	3.171
0.24	6.0661
0.2336	5.1663
0.2276	5.9532
0.2131	4.8237
0.2217	4.3103
0.2184	3.8433
0.2104	4.6508
0.203	4.5542
0.241	3.8735
0.2355	2.208
0.2418	2.8415
0.238	2.7031
0.2307	2.6764
0.2242	2.9931
0.2215	2.5291
0.2229	2.6699
0.22	4.8139
0.2922	0.9006
0.2933	1.3812
0.2999	1.3545
0.301	0.7947
0.3011	0.7967
