X_daily_mean_temperature_C	Y_daily_mean_ozone_ug_m3
29.2	31.0
29.9	25.0
29.0	23.0
29.8	31.0
30.1	34.0
30.0	37.0
26.8	35.0
27.7	34.0
28.6	40.0
29.4	36.0
29.8	42.0
30.2	37.0
30.4	32.0
29.8	34.0
28.0	50.0
29.3	41.0
28.6	30.0
29.1	35.0
29.5	35.0
29.9	39.0
30.0	35.0
30.2	30.0
30.4	34.0
30.3	35.0
30.4	38.0
30.2	28.0
30.3	28.0
30.2	35.0
30.4	38.0
30.5	29.0
30.7	35.0
30.2	32.0
30.2	42.0
29.2	33.0
29.8	33.0
30.0	36.0
30.1	31.0
30.1	32.0
30.0	31.0
30.1	30.0
30.3	22.0
30.4	31.0
30.4	31.0
30.5	30.0
30.6	39.0
30.5	34.0
30.4	28.0
30.3	23.0
30.4	25.0
30.3	31.0
29.9	30.0
30.4	30.0
30.0	24.0
31.0	33.0
30.8	31.0
30.7	37.0
30.8	32.0
30.5	29.0
30.8	28.0
30.5	28.0
30.2	43.0
27.9	31.0
27.7	35.0
27.5	45.0
26.5	21.0
27.5	21.0
27.8	25.0
29.1	15.0
30.1	20.0
30.5	26.0
29.9	31.0
30.0	35.0
30.3	28.0
27.8	32.0
28.1	27.0
29.3	31.0
29.8	34.0
30.1	33.0
28.2	22.0
27.3	25.0
26.6	40.0
29.0	26.0
29.8	54.0
29.7	42.0
29.8	29.0
30.2	52.0
30.6	62.0
29.7	46.0
28.5	93.0
28.9	91.0
29.9	108.0
29.6	87.0
29.8	42.0
30.3	116.0
30.0	108.0
30.2	93.0
29.8	72.0
28.4	81.0
29.1	62.0
29.4	38.0
27.1	13.0
27.9	15.0
28.5	21.0
28.9	24.0
28.2	35.0
28.4	66.0
28.1	72.0
27.3	33.0
29.5	18.0
28.7	15.0
28.3	15.0
27.2	18.0
28.6	29.0
27.4	35.0
28.6	67.0
29.1	62.0
28.5	45.0
28.3	40.0
28.0	83.0
27.7	70.0
26.6	59.0
26.9	62.0
27.4	55.0
26.7	88.0
27.6	90.0
28.3	77.0
28.4	86.0
28.0	62.0
25.9	44.0
24.9	31.0
25.2	40.0
26.0	60.0
26.1	78.0
27.0	104.0
28.0	79.0
24.9	64.0
25.5	68.0
26.5	86.0
27.0	86.0
25.6	62.0
24.9	78.0
24.6	53.0
25.0	67.0
24.5	61.0
24.7	66.0
23.5	64.0
23.8	93.0
24.2	104.0
24.6	93.0
25.1	78.0
24.4	66.0
24.7	55.0
24.4	74.0
23.4	95.0
24.0	107.0
25.3	81.0
23.6	75.0
23.0	104.0
22.9	85.0
24.7	115.0
26.8	99.0
25.7	115.0
23.7	114.0
22.9	91.0
22.5	95.0
22.2	87.0
22.9	65.0
23.3	55.0
23.0	67.0
24.0	72.0
24.2	61.0
24.9	46.0
25.3	27.0
25.9	26.0
23.5	65.0
24.8	74.0
23.0	60.0
23.3	71.0
23.5	78.0
24.0	87.0
22.8	53.0
20.4	49.0
20.0	56.0
19.2	41.0
19.7	50.0
19.9	51.0
17.4	42.0
15.9	45.0
16.8	53.0
18.2	66.0
20.7	63.0
19.9	46.0
19.8	44.0
20.9	44.0
21.6	53.0
20.9	43.0
20.9	79.0
19.5	59.0
15.4	15.0
14.8	9.0
14.9	5.0
16.4	21.0
15.0	33.0
14.9	50.0
16.5	59.0
17.4	51.0
18.4	43.0
20.0	28.0
18.9	74.0
18.7	79.0
20.4	66.0
20.6	82.0
21.0	46.0
15.1	54.0
10.9	54.0
11.8	53.0
14.0	70.0
16.7	84.0
18.3	68.0
18.8	71.0
17.1	80.0
15.3	45.0
9.1	34.0
10.7	41.0
12.8	46.0
10.6	40.0
11.9	50.0
13.4	47.0
15.2	50.0
17.3	66.0
17.6	93.0
16.6	92.0
14.2	62.0
15.4	87.0
18.2	83.0
20.1	62.0
20.3	21.0
20.2	21.0
18.4	74.0
19.2	72.0
19.6	69.0
18.9	81.0
19.1	84.0
16.6	86.0
16.7	94.0
18.4	92.0
20.3	57.0
20.9	68.0
18.4	95.0
19.4	91.0
19.9	72.0
20.7	28.0
20.3	81.0
19.9	96.0
18.5	90.0
16.5	42.0
17.4	32.0
18.4	48.0
19.2	52.0
19.9	69.0
21.1	68.0
20.3	63.0
20.4	55.0
18.5	83.0
18.5	85.0
19.6	90.0
20.4	82.0
21.4	41.0
21.7	56.0
20.3	80.0
20.2	58.0
22.3	25.0
18.8	17.0
19.9	71.0
21.9	45.0
21.4	42.0
18.4	65.0
18.9	50.0
20.1	42.0
20.5	44.0
19.9	49.0
19.7	70.0
20.1	86.0
19.8	89.0
21.0	84.0
23.2	48.0
22.0	97.0
21.3	109.0
22.4	86.0
24.0	49.0
24.7	38.0
23.4	46.0
24.2	41.0
25.0	24.0
21.2	30.0
17.8	53.0
18.9	72.0
20.7	69.0
22.1	90.0
21.6	90.0
24.1	54.0
24.8	32.0
25.6	36.0
26.6	37.0
26.5	33.0
26.7	35.0
26.9	29.0
26.9	31.0
24.7	47.0
22.4	100.0
23.9	123.0
23.1	105.0
23.2	95.0
21.0	89.0
22.4	121.0
23.1	117.0
24.6	60.0
25.9	35.0
24.6	58.0
22.2	75.0
22.8	80.0
22.8	86.0
23.2	139.0
22.5	133.0
23.4	107.0
24.5	101.0
25.2	86.0
27.3	56.0
25.4	85.0
24.7	82.0
23.4	77.0
23.2	58.0
24.4	42.0
24.1	66.0
25.6	69.0
26.3	100.0
26.5	80.0
24.3	73.0
26.6	43.0
26.6	84.0
25.2	97.0
26.6	63.0
27.7	56.0
28.3	49.0
28.4	37.0
29.2	39.0
29.6	37.0
29.5	38.0
30.0	44.0
29.9	51.0
30.2	43.0
30.4	32.0
30.2	36.0
30.3	43.0
30.5	37.0
30.7	32.0
30.5	37.0
31.4	42.0
29.8	30.0
28.8	19.0
30.1	35.0
30.3	35.0
30.6	37.0
30.2	39.0
