WaterClarity_m	VegetationCover_pct
0.30	2
0.31	2
0.32	2
0.33	2
0.34	3
0.35	3
0.36	3
0.37	3
0.38	3
0.39	3
0.40	4
0.41	4
0.42	4
0.43	4
0.44	4
0.45	4
0.46	5
0.47	5
0.48	5
0.49	5
0.50	5
0.51	5
0.52	6
0.53	6
0.54	6
0.55	6
0.56	6
0.57	7
0.58	7
0.59	7
0.60	7
0.61	8
0.62	8
0.63	8
0.64	8
0.65	9
0.66	9
0.67	9
0.68	10
0.69	10
0.70	10
0.71	11
0.72	11
0.73	11
0.74	12
0.75	12
0.76	12
0.77	13
0.78	13
0.79	14
0.80	14
0.81	15
0.82	15
0.83	16
0.84	16
0.85	17
0.86	17
0.87	18
0.88	18
0.89	19
0.90	19
0.91	20
0.92	20
0.93	21
0.94	21
0.95	22
0.96	23
0.97	23
0.98	24
0.99	25
1.00	25
1.01	26
1.02	27
1.03	27
1.04	28
1.05	29
1.06	29
1.07	30
1.08	31
1.09	32
1.10	32
1.11	33
1.12	34
1.13	35
1.14	35
1.15	36
1.16	37
1.17	38
1.18	39
1.19	40
1.20	40
1.21	41
1.22	42
1.23	43
1.24	44
1.25	45
1.26	46
1.27	47
1.28	48
1.29	49
1.30	50
1.31	51
1.32	52
1.33	53
1.34	54
1.35	55
1.36	56
1.37	57
1.38	58
1.39	59
1.40	60
1.41	61
1.42	62
1.43	63
1.44	64
1.45	65
1.46	66
1.47	67
1.48	68
1.49	69
1.50	70
1.51	71
1.52	72
1.53	73
1.54	74
1.55	75
1.56	76
1.57	77
1.58	78
1.59	79
1.60	80
1.61	80
1.62	81
1.63	81
1.64	82
1.65	82
1.66	83
1.67	83
1.68	84
1.69	84
1.70	85
1.71	85
1.72	86
1.73	86
1.74	87
1.75	87
1.76	88
1.77	88
1.78	89
1.79	89
1.80	89
1.81	89
1.82	90
1.83	90
1.84	90
1.85	90
1.86	91
1.87	91
1.88	91
1.89	91
1.90	92
1.91	92
1.92	92
1.93	92
1.94	92
1.95	93
1.96	93
1.97	93
1.98	93
1.99	93
2.00	94
2.01	94
2.02	94
2.03	94
2.04	94
2.05	94
2.06	95
2.07	95
2.08	95
2.09	95
2.10	95
2.11	95
2.12	95
2.13	95
2.14	95
2.15	95
2.16	95
2.17	95
2.18	95
2.19	95
2.20	95
2.21	95
2.22	95
2.23	95
2.24	95
2.25	95
2.26	95
2.27	95
2.28	95
2.29	95
2.30	95
2.31	95
2.32	95
2.33	95
2.34	95
2.35	95
2.36	95
2.37	95
2.38	95
2.39	95
2.40	95
2.41	95
2.42	95
2.43	95
2.44	95
2.45	95
2.46	95
2.47	95
2.48	95
2.49	95
2.50	95
2.51	95
2.52	95
2.53	95
2.54	95
2.55	95
2.56	95
2.57	95
2.58	95
2.59	95
2.60	95
2.61	95
2.62	95
2.63	95
2.64	95
2.65	95
2.66	95
2.67	95
2.68	95
2.69	95
2.70	95
2.71	95
2.72	95
2.73	95
2.74	95
2.75	95
2.76	95
2.77	95
2.78	95
2.79	95
2.80	95
2.81	95
2.82	95
2.83	95
2.84	95
2.85	95
2.86	95
2.87	95
2.88	95
2.89	95
2.90	95
2.91	95
2.92	95
2.93	95
2.94	95
2.95	95
2.96	95
2.97	95
2.98	95
2.99	95
3.00	95
3.01	95
3.02	95
3.03	95
3.04	95
3.05	95
3.06	95
3.07	95
3.08	95
3.09	95
3.10	95
3.11	95
3.12	95
3.13	95
3.14	95
3.15	95
3.16	95
3.17	95
3.18	95
3.19	95
3.20	95
3.21	95
3.22	95
3.23	95
3.24	95
3.25	95
3.26	95
3.27	95
3.28	95
3.29	95
