Variable_X Variable_Y
0.528231 0.272167
0.564173 0.007054
0.148874 0.208214
0.313270 0.373036
0.235434 0.281629
0.185940 0.273098
0.353937 0.340147
0.718084 0.734954
0.623601 0.498834
0.258274 0.278975
0.270659 0.314327
0.284740 0.340921
0.568942 0.535659
0.466308 0.468222
0.232040 0.253301
0.959590 0.899049
0.546008 0.525905
0.585124 0.093201
0.584333 0.244293
0.059782 0.139012
0.793913 0.781010
0.552824 0.081774
0.552291 0.258287
0.497345 0.459149
0.595416 0.090579
0.637463 0.431284
0.550128 0.183892
0.014650 0.116676
0.643604 0.668660
0.627114 0.498588
0.647657 0.647594
0.408518 0.379216
0.195958 0.296935
0.705230 0.659154
0.543199 0.034159
0.887281 0.831437
0.615016 0.615015
0.748258 0.829824
0.270694 0.281148
0.704226 0.703591
0.396907 0.332549
0.449315 0.470978
0.443488 0.421499
0.458334 0.465066
0.510042 0.022178
0.019817 0.125297
0.539511 0.390663
0.346074 0.361536
0.255892 0.292646
0.347687 0.374279
0.616585 0.587441
0.605504 0.498281
0.711808 0.688156
0.547284 0.334988
0.201718 0.225250
0.437630 0.391414
0.578697 0.382439
0.184608 0.219693
0.521380 0.002743
0.072399 0.226647
0.089186 0.178969
0.593486 0.276182
0.551607 0.166425
0.315838 0.313340
0.218806 0.244429
0.526579 0.384843
0.426845 0.432580
0.281322 0.291001
0.524536 0.043567
0.729153 0.807524
0.587334 0.381747
0.602864 0.590810
0.169532 0.180776
0.527629 0.334391
0.565105 0.546595
0.589213 0.403239
0.596581 0.045747
0.157078 0.263851
0.584686 0.326538
0.010809 0.111060
0.454920 0.405844
0.587083 0.095395
0.606175 0.316081
0.000456 0.037131
0.123778 0.135177
0.442096 0.505686
0.523075 0.399522
0.464197 0.472491
0.026401 0.153451
0.245430 0.272637
0.180770 0.177583
0.286784 0.265804
0.838478 0.834506
0.559601 0.016268
0.540623 0.116250
0.257668 0.268422
0.182579 0.239462
0.490312 0.393164
0.075959 0.157967
0.659846 0.664468
0.684825 0.626861
0.393568 0.452416
0.584661 0.010434
0.630703 0.301280
0.450134 0.443146
0.403584 0.358435
0.687954 0.667416
0.720393 0.761469
0.418489 0.401383
0.020774 0.079709
0.156358 0.227466
0.610572 0.090586
0.549073 0.246456
0.061337 0.114035
0.424642 0.368524
0.313988 0.306141
0.566029 0.451815
0.616421 0.415331
0.633898 0.632026
0.324865 0.349481
0.159492 0.173493
0.837789 0.840939
0.565896 0.271819
0.851930 0.912072
0.560950 0.334530
0.400210 0.375847
0.288246 0.334934
0.699599 0.690780
0.679353 0.700786
0.714320 0.708769
0.017658 0.014118
0.593844 0.566665
0.436706 0.354621
0.082939 0.068257
0.148566 0.258295
0.090108 0.109916
0.106855 0.125090
0.070021 0.108382
0.575285 0.109675
0.227247 0.238266
0.217197 0.219384
