Variable_X Variable_Y
0.254214 0.325008
0.066595 0.142834
0.341942 0.310231
0.951121 0.921405
0.201183 0.305364
0.814208 0.837997
0.018300 0.114484
0.845704 0.823096
0.174261 0.243560
0.666677 0.700286
0.595255 0.313300
0.671536 0.694525
0.608677 0.676589
0.553235 0.221174
0.248686 0.242965
0.235159 0.267107
0.163580 0.127402
0.596341 0.356988
0.726205 0.685416
0.433002 0.372456
0.024723 0.102195
0.648904 0.568540
0.549896 0.262834
0.054504 0.102230
0.358090 0.358891
0.597321 0.170603
0.306925 0.358708
0.110453 0.216657
0.552399 0.153103
0.723115 0.556957
0.598633 0.543634
0.426535 0.374412
0.767098 0.760458
0.574038 0.037942
0.409137 0.398811
0.584465 0.442299
0.948450 0.941170
0.318569 0.385793
0.062524 0.162257
0.388648 0.347232
0.408504 0.337670
0.538111 0.116526
0.389566 0.371234
0.029331 0.159603
0.469540 0.417845
0.579039 0.548048
0.351237 0.343993
0.274514 0.270195
0.600682 0.163869
0.237032 0.218052
0.213167 0.246046
0.627914 0.500041
0.250337 0.267692
0.095963 0.112253
0.063614 0.114169
0.780759 0.794028
0.743067 0.726888
0.619630 0.633774
0.529693 0.056823
0.259227 0.208536
0.816069 0.879786
0.121104 0.145508
0.465798 0.427356
0.857089 0.795251
0.424368 0.432975
0.114649 0.202445
0.026621 0.034470
0.325956 0.318986
0.224913 0.226555
0.223150 0.231480
0.661965 0.573576
0.662853 0.609208
0.603846 0.402885
0.621122 0.524206
0.371702 0.376489
0.111576 0.205323
0.583847 0.220309
0.601067 0.562424
0.997483 0.948376
0.730252 0.657146
0.609666 0.340903
0.272118 0.385458
0.558043 0.252867
0.461252 0.432032
0.793921 0.828805
0.320943 0.324277
0.014842 0.151400
0.635756 0.067553
0.666856 0.684874
0.631867 0.411239
0.836512 0.868396
0.617723 0.468550
0.841556 0.887358
0.598516 0.648716
0.567914 0.488789
0.593551 0.258484
0.503098 0.263899
0.631300 0.608746
0.562907 0.563756
0.676779 0.691593
0.341997 0.304723
0.104011 0.179140
0.493296 0.412833
0.124451 0.321793
0.761623 0.713282
0.169005 0.244728
0.048933 0.149804
0.567664 0.224787
0.505514 0.007851
0.092311 0.160992
0.578732 0.013132
0.419282 0.374003
0.634341 0.400928
0.529590 0.410749
0.451598 0.430344
0.205745 0.234899
0.584799 0.515312
0.813795 0.829928
0.970267 0.958567
0.814692 0.786708
0.454454 0.442283
0.364122 0.249342
0.075020 0.175906
0.439461 0.377366
0.351202 0.265370
0.116012 0.116737
0.843152 0.835546
0.203049 0.265452
0.890582 0.920153
0.096625 0.132480
0.595660 0.266175
0.248271 0.247168
0.347956 0.348401
0.740286 0.708640
0.562274 0.218581
0.105086 0.210273
0.157950 0.206503
0.382515 0.288909
0.331221 0.317253
0.792012 0.769069
0.686056 0.431935
0.555223 0.576588
0.792815 0.809541
0.934166 0.922525
0.061455 0.101268
0.380722 0.352435
0.288288 0.291736
0.215224 0.225158
0.614196 0.638851
0.734220 0.796078
0.130824 0.185642
0.078130 0.178985
0.574041 0.005849
0.139821 0.169991
0.125691 0.264931
0.090466 0.200603
0.027839 0.125232
0.703777 0.803010
0.083054 0.189206
0.617287 0.580475
0.239012 0.308898
0.054494 0.131658
0.205116 0.303008
0.977573 0.936863
0.691151 0.763163
0.638201 0.463693
0.364845 0.360283
0.711694 0.710491
0.178047 0.263627
0.922533 0.895466
0.747717 0.791538
0.005579 0.115545
0.029069 0.119636
0.809021 0.870594
0.555907 0.515560
0.873219 0.904612
0.807672 0.812274
0.548133 0.358115
0.787267 0.793888
0.022038 0.074010
0.452123 0.461949
0.724582 0.746358
0.668962 0.712524
0.528953 0.167020
0.939097 0.889332
0.474595 0.381549
0.864373 0.861119
0.642891 0.505749
0.226891 0.219887
0.556361 0.497450
0.571737 0.380394
0.570549 0.468031
0.090602 0.128742
0.117533 0.112775
0.607797 0.415239
0.898130 0.899905
0.228293 0.245299
0.007583 0.103802
0.296164 0.252398
0.461905 0.373955
0.566035 0.488192
0.021591 0.133642
0.552598 0.203212
0.737473 0.801655
0.507931 0.105668
0.625615 0.535500
0.071323 0.162700
0.060787 0.133845
0.001310 0.064917
0.767548 0.769437
0.469342 0.369409
0.552889 0.174113
0.785841 0.681933
0.024754 0.229044
0.215966 0.291742
0.718665 0.689224
0.288377 0.320973
0.620779 0.656823
0.558366 0.168517
0.075994 0.139783
0.143580 0.167866
0.880195 0.891760
0.545804 0.229578
0.346379 0.357318
0.694753 0.575276
0.145614 0.203062
0.093004 0.198196
0.063149 0.120075
0.559840 0.050231
0.775024 0.725659
0.686610 0.672372
0.256149 0.286017
0.017542 0.048296
0.461559 0.370138
0.131882 0.216691
0.685245 0.732939
0.413602 0.357088
0.406633 0.425335
0.658245 0.618621
0.642324 0.667373
0.165958 0.265228
0.751077 0.636757
0.291164 0.345428
0.209217 0.232600
0.383450 0.408151
0.278962 0.306576
0.640295 0.548447
0.222153 0.245175
0.022055 0.084983
0.562282 0.475951
0.454533 0.317844
0.519076 0.091115
0.228372 0.244763
0.244163 0.232620
0.540074 0.211614
0.724546 0.676427
0.350310 0.322653
0.601047 0.468948
0.640182 0.617102
0.502563 0.465367
0.487617 0.406276
0.452761 0.399496
0.583578 0.361598
0.294476 0.284030
0.256245 0.236106
0.177862 0.268268
0.008195 0.081825
0.111632 0.159139
0.558502 0.128296
0.605735 0.055957
0.659011 0.674338
0.453881 0.470019
0.268852 0.346215
0.475536 0.358985
0.821137 0.794115
0.357732 0.352604
0.865348 0.861827
0.028981 0.134989
0.558761 0.242751
0.872654 0.919520
0.487752 0.486978
0.581063 0.600759
0.143922 0.248392
0.675369 0.627757
0.417077 0.401995
0.413745 0.388104
0.424932 0.406793
0.645401 0.569423
0.553461 0.215918
0.494762 0.493179
0.602447 0.474383
0.193152 0.308280
0.019416 0.131676
0.166926 0.191895
0.601603 0.142808
0.571089 0.407205
0.029501 0.114602
0.565768 0.078292
0.127537 0.101630
0.135723 0.299928
0.539830 0.090092
0.564917 0.543870
0.799857 0.846928
0.943108 0.929316
0.307552 0.290179
0.341184 0.394885
0.202634 0.213400
0.191938 0.167058
0.310673 0.315792
0.596165 0.220125
0.398384 0.328139
0.048734 0.111509
0.484460 0.427707
0.431987 0.384069
0.370844 0.342263
0.535276 0.318333
0.164207 0.262388
0.829267 0.856939
0.075815 0.099233
0.570187 0.163064
0.585430 0.317836
0.614429 0.220379
0.554113 0.642851
0.258382 0.363931
0.460404 0.419633
0.437825 0.441454
0.223948 0.251041
0.233165 0.240539
0.114264 0.117155
0.474541 0.408553
0.685642 0.721756
0.647102 0.682050
0.382148 0.382146
0.609340 0.525890
0.269225 0.296705
0.545508 0.157223
0.695900 0.650815
0.578261 0.485569
0.621936 0.642346
0.626791 0.673714
0.546246 0.532748
0.571355 0.056125
0.193643 0.166879
0.612653 0.466930
0.112873 0.178430
0.445217 0.380664
0.597725 0.015975
0.499704 0.443229
0.571931 0.044956
0.355126 0.329580
0.263923 0.240003
0.298150 0.296108
0.595375 0.092171
0.684007 0.566587
0.600284 0.414910
0.791932 0.773492
0.839711 0.835016
0.640310 0.659182
0.321144 0.264934
0.241723 0.303354
0.063891 0.112253
0.371183 0.373427
0.616280 0.354171
0.742985 0.787315
0.253955 0.299494
0.609385 0.531782
0.697457 0.650364
0.280343 0.293032
0.308319 0.318492
0.833949 0.833262
0.317982 0.356770
0.553644 0.528057
0.600149 0.024753
0.465071 0.437861
0.373810 0.402207
0.348035 0.305649
0.656618 0.605752
0.593627 0.359316
0.593685 0.551199
0.536773 0.292853
0.647320 0.553532
0.571821 0.581656
0.277353 0.267953
0.062224 0.147342
0.676621 0.692993
0.298269 0.314179
0.550100 0.344903
0.445882 0.365119
0.595815 0.429561
0.342293 0.288759
0.462662 0.375123
0.520859 0.105467
0.610844 0.593269
0.528248 0.230622
0.330486 0.321110
0.142565 0.114001
0.424732 0.277698
0.534644 0.404307
0.337918 0.320975
0.745280 0.707128
0.220578 0.182253
0.462353 0.340890
0.185919 0.245277
0.167298 0.188339
0.591850 0.601032
0.556253 0.334184
0.702436 0.679736
0.090215 0.123795
0.567403 0.356055
0.848567 0.891272
0.478354 0.428019
0.176608 0.232670
0.424023 0.425189
0.628572 0.535085
0.221018 0.257465
0.971217 0.981240
0.761105 0.778286
0.781207 0.749381
0.524049 0.235069
0.739516 0.632035
0.582250 0.272353
0.000653 0.127920
0.440043 0.482836
0.281252 0.331844
0.643019 0.701408
0.637293 0.566487
0.125976 0.222729
0.536755 0.146817
0.725157 0.778972
0.407748 0.387240
0.120233 0.137644
0.827119 0.861620
0.534312 0.192799
0.684793 0.732771
0.673658 0.670791
0.577419 0.148475
0.488367 0.458600
0.084472 0.124484
0.272540 0.307079
0.683796 0.477111
0.410209 0.456716
0.610038 0.220454
0.127059 0.152378
0.734644 0.702314
0.351623 0.326913
0.135490 0.160007
0.280446 0.282028
0.592367 0.456338
0.261353 0.306581
0.317317 0.345435
0.512851 0.109285
0.481822 0.446053
0.507741 0.438907
0.564770 0.585334
0.657752 0.599066
0.251698 0.191332
0.214268 0.255086
0.424271 0.410670
0.968331 0.942588
0.201471 0.229598
0.759232 0.767350
0.499128 0.425925
0.211846 0.257673
0.580393 0.164721
0.561960 0.054335
0.156636 0.223252
0.795621 0.769832
0.664307 0.785632
0.596579 0.586986
0.623295 0.550146
0.200720 0.219793
0.364673 0.320488
0.261584 0.239346
0.881948 0.867420
0.063715 0.121149
0.670405 0.496476
0.550683 0.221212
0.646815 0.545074
0.622170 0.522107
0.247195 0.253142
0.628265 0.538355
0.921699 0.847833
0.181331 0.211696
0.334929 0.341478
0.401333 0.362253
0.384931 0.380460
0.445897 0.385527
0.042266 0.145628
0.658171 0.529164
0.814157 0.841709
0.922598 0.882481
0.660110 0.453197
0.601439 0.031329
0.933590 0.865726
0.233132 0.336858
0.514181 0.167414
0.248604 0.225912
0.004192 0.175432
0.912570 0.887111
0.714958 0.734025
0.703944 0.702727
0.598636 0.490331
0.031563 0.105061
0.390689 0.399039
0.572000 0.501768
0.164219 0.243827
0.628609 0.624635
0.673504 0.565394
0.540526 0.278387
0.273898 0.296400
0.525991 0.434657
0.012157 0.172784
0.545514 0.321392
0.167203 0.188398
0.572833 0.227951
0.537784 0.453970
0.523254 0.313004
0.548012 0.129024
0.588683 0.037403
