Variable_X Variable_Y
0.891837 0.966300
0.759223 0.658421
0.365436 0.603122
0.376701 0.543948
0.753790 0.588142
0.635920 0.189312
0.349248 0.542878
0.731515 0.693831
0.236343 0.420987
0.390753 0.631677
0.285204 0.472119
0.512772 0.212130
0.160877 0.317999
0.306281 0.514798
0.366311 0.562642
0.797470 0.288654
0.738086 0.952773
0.659005 0.460990
0.151197 0.380464
0.784850 0.700178
0.103696 0.329962
0.386929 0.610235
0.411326 0.062024
0.397829 0.576203
0.687661 0.692741
0.114689 0.316561
0.120677 0.269904
0.175493 0.331909
0.616955 0.296048
0.434422 0.223060
0.312211 0.485567
0.712899 0.622911
0.249724 0.425691
0.672993 0.476239
0.569150 0.628668
0.245112 0.402474
0.565996 0.531061
0.783810 0.398408
0.421443 0.056449
0.259658 0.452915
0.457801 0.010160
0.353339 0.539910
0.095971 0.337386
0.265819 0.414867
0.999342 0.687036
0.673117 0.825434
0.719105 0.723696
0.516930 0.986114
0.493720 0.148489
0.008406 0.166346
0.818201 0.963000
0.242522 0.436002
0.303340 0.461145
0.171103 0.364530
0.870046 0.936088
0.310675 0.512035
0.269614 0.416015
0.429302 0.242303
0.486311 0.114637
0.131477 0.248130
0.156353 0.411340
0.297260 0.434052
0.326994 0.550860
0.327532 0.443486
0.941144 0.980228
0.489043 0.402215
0.871564 0.886504
0.691336 0.239630
0.680843 0.560070
0.035941 0.216445
0.375625 0.500301
0.694916 0.764609
0.170529 0.400613
0.029315 0.209230
0.174434 0.414344
0.113115 0.354353
0.173011 0.290395
0.676970 0.573800
0.395185 0.536699
0.653919 0.661123
0.516461 0.589411
0.934195 0.758763
0.088062 0.283606
0.280726 0.459565
0.250876 0.432367
0.810463 0.885358
0.830211 0.828266
0.146106 0.359104
0.246115 0.422037
0.777955 0.731151
0.078424 0.248535
0.573345 0.283669
0.057618 0.238611
0.431580 0.047298
0.476682 0.206159
0.756538 0.802000
0.377221 0.562127
0.581301 0.270384
0.021550 0.222511
0.073589 0.311373
0.836595 0.630704
0.745137 0.537206
0.539981 0.170389
0.142270 0.351075
0.411594 0.113893
0.204087 0.394913
0.209055 0.337280
0.009185 0.171094
0.377815 0.527295
0.151005 0.351306
0.680977 0.675333
0.539058 0.331573
0.303768 0.459432
0.670129 0.276865
0.844572 0.746402
0.467162 0.116975
0.365760 0.502358
0.500044 0.190266
0.011621 0.183658
0.816002 0.556903
0.144253 0.281289
0.160779 0.416772
0.039011 0.205484
0.589283 0.281396
0.719648 0.623318
0.701474 0.935115
0.165403 0.364333
0.823784 0.820544
0.653019 0.562187
0.767267 0.527666
0.397041 0.519641
0.780434 0.827316
0.634766 0.881525
0.392450 0.531157
0.527572 0.222703
0.316548 0.479399
0.507155 0.212996
0.050079 0.240428
0.266193 0.504330
0.719470 0.768901
0.253693 0.450006
0.270916 0.500363
0.206236 0.407223
