Variable_X Variable_Y
0.596414 0.339196
0.583027 0.788796
0.533782 0.199059
0.855571 0.663246
0.921171 0.835168
0.260869 0.492506
0.885761 0.922229
0.861390 0.865360
0.139578 0.298561
0.472992 0.503421
0.103358 0.278726
0.376681 0.487077
0.050843 0.218808
0.637621 0.495257
0.019015 0.223803
0.815948 0.399068
0.067332 0.224493
0.533478 0.621866
0.195481 0.373602
0.082834 0.275423
0.412746 0.076884
0.243935 0.370632
0.109587 0.259400
0.623389 0.427101
0.114519 0.280845
0.242108 0.358705
0.075739 0.281155
0.311574 0.424458
0.483724 0.509851
0.730654 0.385731
0.144114 0.312424
0.297675 0.465679
0.456051 0.093967
0.267299 0.400119
0.457249 0.286226
0.011478 0.231229
0.070989 0.236832
0.311645 0.475061
0.210091 0.334947
0.121897 0.280554
0.905982 0.944963
0.252386 0.393054
0.225632 0.445176
0.001234 0.242911
0.350384 0.516635
0.566795 0.258591
0.420996 0.362406
0.846364 0.928987
0.118970 0.249172
0.755499 0.857716
0.832569 0.844952
0.040722 0.252555
0.579437 0.285865
0.490254 0.072689
0.259650 0.444251
0.234995 0.413130
0.585921 0.644580
0.647014 0.701119
0.205075 0.382036
0.069705 0.277657
0.038995 0.229950
0.411110 0.165980
0.266651 0.410953
0.117499 0.316925
0.205106 0.403083
0.164812 0.384280
0.712778 0.812474
0.769053 0.844197
0.662141 0.931446
0.760568 0.517600
0.303811 0.440389
0.753231 0.354014
0.280764 0.454239
0.114649 0.275712
0.390795 0.519648
0.153571 0.318619
0.122450 0.287043
0.064980 0.220711
0.548046 0.252790
0.132979 0.367676
0.082937 0.249782
0.261284 0.374189
0.447146 0.010725
0.162738 0.396385
0.300760 0.548211
0.575900 0.334002
0.215417 0.402204
0.132240 0.302174
0.269539 0.421537
0.572462 0.340140
0.629929 0.381181
0.659352 0.659676
0.850183 0.849400
0.460651 0.659499
0.115878 0.335110
0.164002 0.256532
0.767172 0.775375
0.579076 0.004935
0.372301 0.480118
0.259603 0.467971
0.624918 0.319154
0.565636 0.474436
0.642816 0.304396
0.527493 0.803540
0.141521 0.350160
0.349704 0.448248
0.275213 0.373019
0.233982 0.440821
0.093204 0.238387
0.434342 0.208823
0.129075 0.303237
0.860848 0.436499
0.776315 0.800041
0.368346 0.559741
0.851190 0.709135
0.837028 0.910978
0.749682 0.448165
0.273455 0.389749
0.222065 0.466933
0.216613 0.367027
0.813829 0.980074
0.683787 0.615282
0.754635 0.676615
0.373442 0.561299
0.545509 0.784864
0.279584 0.471535
0.405543 0.171553
0.773512 0.859438
0.840987 0.960674
0.558832 0.636694
0.357188 0.495720
0.307573 0.461015
0.716441 0.774501
0.010759 0.227948
0.390177 0.488092
0.505513 0.855712
0.351176 0.435386
0.616491 0.508488
0.117028 0.251517
0.567629 0.001988
0.142130 0.334076
0.424680 0.044579
0.356022 0.579170
0.244457 0.384305
0.708273 0.947814
0.345418 0.488978
0.617088 0.672403
0.031312 0.283070
0.187142 0.332731
0.682373 0.749232
0.875799 0.511052
0.038979 0.209170
0.072368 0.235880
0.182491 0.321886
0.142680 0.293274
0.794065 0.871067
0.629046 0.658792
0.194652 0.406749
0.370217 0.541086
0.380291 0.531258
0.515185 0.394553
0.859822 0.830371
0.605132 0.922847
0.245113 0.502433
0.403047 0.748271
0.260771 0.403817
0.035071 0.221344
0.208446 0.362002
0.078366 0.257533
0.179173 0.372548
0.125955 0.278286
0.200078 0.375545
0.320677 0.450010
0.169116 0.344954
0.441091 0.348914
0.294307 0.464275
0.608714 0.612813
0.607404 0.482877
0.636009 0.173635
0.768825 0.726816
0.818338 0.418970
0.070746 0.246469
0.429080 0.044347
0.299213 0.500060
0.758712 0.763858
0.072701 0.338365
0.891816 0.639468
0.333750 0.455594
0.143517 0.370033
0.304226 0.432926
0.452965 0.018368
0.459874 0.089198
0.331541 0.487824
0.872712 0.760122
0.305843 0.459194
0.694575 0.674493
0.251013 0.478937
0.528959 0.462085
0.677682 0.321766
0.344924 0.487252
0.474528 0.153297
0.511829 0.097323
0.110426 0.248063
0.015378 0.246073
0.923861 0.595688
0.354119 0.527136
0.816682 0.913752
0.080753 0.253962
0.113028 0.357163
0.266776 0.388338
0.338819 0.512825
0.013762 0.163795
0.484645 0.176773
0.152822 0.340170
0.174393 0.342620
0.658638 0.266807
0.194412 0.392181
0.683300 0.820313
0.918636 0.822839
0.686444 0.711106
0.044879 0.237796
0.377015 0.588656
0.198601 0.336537
0.605773 0.429616
0.662546 0.938880
0.311508 0.519055
0.443358 0.153603
0.081579 0.259662
0.524591 0.111697
0.068452 0.244484
0.286683 0.439505
0.310212 0.450472
0.031053 0.237564
0.152090 0.339067
0.220529 0.404371
0.772680 0.711559
0.568116 0.323839
0.535231 0.211259
0.755547 0.555676
0.136154 0.257580
0.496623 0.199448
0.356737 0.463795
0.239090 0.413273
0.044516 0.213323
0.479796 0.060270
