Variable_X Variable_Y
0.611080 0.656960
0.600765 0.295112
0.070924 0.254659
0.116897 0.234024
0.625167 0.808124
0.539234 0.467685
0.523165 0.400513
0.491425 0.484235
0.516539 0.304457
0.138799 0.289955
0.275169 0.334721
0.218875 0.275325
0.159441 0.323146
0.703030 0.168250
0.380776 0.404996
0.241110 0.397604
0.728086 0.130126
0.564054 0.250036
0.499949 0.596921
0.490226 0.702094
0.422266 0.464465
0.550123 0.294570
0.213864 0.376426
0.575547 0.330004
0.742107 0.909485
0.297401 0.405536
0.130454 0.239337
0.394884 0.461222
0.714066 0.092375
0.530430 0.560499
0.678987 0.788333
0.508031 0.438943
0.074565 0.228656
0.705878 0.879826
0.210945 0.266853
0.073514 0.176949
0.603567 0.274323
0.663483 0.822936
0.212498 0.270969
0.620893 0.300134
0.595081 0.275300
0.495210 0.638387
0.441498 0.519513
0.823232 0.013193
0.522325 0.601966
0.571453 0.286453
0.339696 0.431743
0.256640 0.325603
0.195699 0.296771
0.136933 0.257065
0.385403 0.437854
0.483455 0.372963
0.448730 0.510789
0.379008 0.434976
0.361458 0.421600
0.260479 0.319403
0.508260 0.500456
0.519823 0.418838
0.275673 0.395419
0.520235 0.455335
0.295191 0.343851
0.268090 0.378072
0.659295 0.177426
0.289185 0.390287
0.139352 0.212343
0.539574 0.639027
0.231585 0.324382
0.082412 0.165388
0.161809 0.363226
0.307012 0.409061
0.545899 0.659386
0.702584 0.164423
0.650889 0.180244
0.372278 0.452393
0.574768 0.248012
0.544229 0.568520
0.227900 0.328395
0.426604 0.510321
0.636038 0.796275
0.095802 0.186281
0.610558 0.797698
0.040400 0.245660
0.101609 0.234651
0.251915 0.298128
0.140897 0.290363
0.105898 0.247204
0.217142 0.303694
0.690994 0.189242
0.610196 0.744788
0.111575 0.276410
0.512546 0.353851
0.301175 0.310525
0.223896 0.279268
0.095931 0.217244
0.126949 0.219221
0.550816 0.377541
0.722746 0.121219
0.500861 0.460166
0.620843 0.178074
0.731173 0.850207
0.061725 0.158960
0.269754 0.345719
0.252002 0.404606
0.706014 0.809040
0.055248 0.142096
0.479520 0.579223
0.097514 0.225275
0.559255 0.736870
0.269842 0.340076
0.304517 0.355193
0.421670 0.441073
0.574655 0.709669
0.011254 0.199512
0.818134 0.945770
0.692576 0.125404
0.660316 0.857811
0.552131 0.659695
0.877551 0.031908
0.550073 0.677650
0.542795 0.396101
0.521208 0.364901
0.114284 0.253182
0.641984 0.188659
0.554534 0.648176
0.325605 0.414323
0.425770 0.444695
0.155306 0.265008
0.302394 0.422842
0.600134 0.204138
0.569943 0.759341
0.342702 0.411897
0.136743 0.249192
0.310362 0.336106
0.511705 0.344249
0.772995 0.018332
0.156317 0.267303
0.245815 0.382099
0.186537 0.317289
0.058580 0.187413
0.104189 0.260841
0.027060 0.193089
0.010766 0.139098
0.719429 0.069679
0.662647 0.848799
0.794821 0.915069
0.037778 0.166775
0.689509 0.771969
0.703988 0.140010
0.231337 0.329806
0.447353 0.451177
0.535438 0.640409
0.255005 0.317461
0.343660 0.449216
0.020718 0.209904
0.744806 0.111253
0.326238 0.351717
0.618010 0.722456
0.792327 0.913336
0.548083 0.393665
0.742090 0.191144
0.204437 0.326986
0.324754 0.356990
0.755814 0.086895
0.000756 0.138621
0.567409 0.306061
0.405742 0.494560
0.027945 0.152639
0.664501 0.839141
0.370024 0.444559
0.547216 0.511199
0.536125 0.359576
0.623742 0.818312
0.068581 0.247756
0.115097 0.217677
0.183018 0.215347
0.522017 0.413324
0.190670 0.233657
0.018026 0.213438
0.323694 0.431932
0.514675 0.656422
0.527754 0.665905
0.192058 0.236699
0.168690 0.278254
0.831714 0.976896
0.467512 0.532109
0.247060 0.354126
0.033936 0.133300
0.530548 0.449185
0.259637 0.382564
0.561078 0.696186
0.184981 0.297800
0.238413 0.244724
0.423190 0.446952
0.469669 0.569962
0.681983 0.107330
0.575785 0.537330
0.811220 0.031535
0.092943 0.214506
0.265932 0.395884
0.581327 0.350135
0.418933 0.453545
0.581720 0.305407
0.657099 0.169828
0.095275 0.164196
0.813376 0.952483
0.130399 0.312508
0.768056 0.941210
0.550872 0.352012
0.028637 0.209397
0.377187 0.462769
0.516259 0.501525
0.509341 0.561063
0.701210 0.130747
0.171818 0.271574
0.094517 0.230430
0.225160 0.283543
0.227830 0.345765
0.298589 0.367462
0.051792 0.263678
0.092798 0.200532
0.048351 0.209475
0.140151 0.240974
0.248821 0.397655
0.082360 0.203646
0.841462 0.935083
0.757378 0.851661
0.546617 0.338154
0.430343 0.450944
0.144328 0.336842
0.498111 0.346233
0.245599 0.351141
0.667521 0.191673
0.526662 0.616906
0.701251 0.801062
0.252032 0.285765
0.257318 0.362289
0.073740 0.229877
0.504870 0.525985
0.425226 0.560229
0.804873 0.955118
0.368204 0.446371
0.235816 0.270758
0.532782 0.584251
0.712339 0.905282
0.391475 0.461626
0.676507 0.778237
0.592863 0.691877
0.658533 0.172103
0.586321 0.275958
0.150376 0.247084
0.411137 0.429385
0.751223 0.069940
0.533415 0.579794
0.542085 0.382829
0.654324 0.172374
0.386202 0.377598
0.624044 0.250410
0.191708 0.300842
0.034702 0.125245
0.452271 0.567457
0.150148 0.202906
0.739079 0.114515
0.809347 0.079477
0.102884 0.232802
0.316366 0.414795
0.135714 0.256162
0.395040 0.426090
0.535281 0.317186
0.577236 0.635721
0.470513 0.595398
0.598692 0.292464
0.542231 0.339086
0.539273 0.664149
0.185416 0.254523
0.499719 0.356250
0.156264 0.224255
0.876795 0.001711
0.465989 0.529825
0.321643 0.389336
0.644132 0.254078
0.388162 0.448288
0.390975 0.509114
0.029027 0.201501
0.301592 0.375674
0.729107 0.134190
0.151251 0.273259
0.802761 0.012584
0.004504 0.146527
0.756392 0.888078
0.371926 0.458277
0.661166 0.229874
0.218042 0.315869
0.189255 0.313661
0.612285 0.158623
0.594923 0.774416
0.304767 0.357058
0.872433 0.013478
0.812201 0.934597
0.676968 0.178621
0.515035 0.443479
0.463756 0.470465
0.133622 0.220613
0.160602 0.282838
0.555768 0.452977
0.476270 0.501456
0.868951 0.943955
0.591306 0.803889
0.202789 0.282268
0.113844 0.222802
0.240469 0.332653
0.407594 0.434064
0.317644 0.340375
0.810313 0.067036
0.696163 0.860449
0.260437 0.352861
0.536796 0.474306
0.596368 0.759749
0.402183 0.456347
0.466599 0.517664
0.273210 0.366398
0.535405 0.459811
0.586006 0.272137
0.399284 0.502536
0.294061 0.372436
0.265038 0.363366
0.447396 0.503615
0.164428 0.272558
0.880952 0.042483
0.860605 0.059351
0.508502 0.376190
0.552153 0.627858
0.788735 0.120148
0.370082 0.496062
0.390514 0.464488
0.204123 0.278092
0.251479 0.308766
0.494818 0.632007
0.820866 0.929292
0.444887 0.494582
0.043744 0.115525
0.075284 0.225003
0.052458 0.213350
0.021221 0.171311
0.596669 0.314148
0.589948 0.245463
0.462378 0.487399
0.477024 0.394442
0.091352 0.263417
0.590227 0.248243
0.752841 0.034304
0.591640 0.681146
0.106924 0.192967
0.733403 0.867576
0.538331 0.537788
0.836251 0.049051
0.639866 0.153540
0.339623 0.402642
0.606325 0.823903
0.854340 0.948246
0.531253 0.305319
0.679927 0.206803
0.321421 0.429701
0.341441 0.400202
0.117008 0.256936
0.122787 0.194959
0.080412 0.182705
0.374703 0.478342
0.636535 0.163987
0.154801 0.308921
0.253830 0.336727
0.069198 0.208344
0.746396 0.919146
0.482353 0.287651
0.017500 0.239236
0.619774 0.244727
0.544175 0.303825
0.690747 0.167899
0.571088 0.755640
0.641527 0.766426
0.153521 0.261085
0.765963 0.916452
0.521371 0.577341
0.557329 0.711501
0.563023 0.731750
0.568084 0.722322
0.569163 0.692390
0.303014 0.409378
0.489794 0.356014
0.526636 0.439682
0.610101 0.679597
0.725438 0.892703
0.339456 0.458277
0.408092 0.429929
0.098076 0.163736
0.561999 0.686563
0.364564 0.433652
0.195810 0.352581
0.084980 0.205101
0.070872 0.185557
0.082135 0.190777
