Variable_X Variable_Y
0.222445 0.295466
0.086614 0.143757
0.063335 0.247309
0.598168 0.416626
0.390527 0.470488
0.590770 0.630523
0.506101 0.626723
0.002391 0.120420
0.840088 0.970413
0.591767 0.587063
0.093463 0.262114
0.426046 0.512103
0.168709 0.308118
0.548028 0.417780
0.562247 0.582730
0.616004 0.782910
0.513328 0.432282
0.269895 0.404970
0.542368 0.582481
0.710611 0.098258
0.660264 0.184171
0.636090 0.821484
0.630826 0.846743
0.291539 0.410521
0.406100 0.513915
0.534276 0.717674
0.584258 0.814434
0.562189 0.262909
0.658257 0.248394
0.301689 0.300013
0.509294 0.446424
0.547339 0.641317
0.510406 0.347668
0.229716 0.321906
0.015547 0.112687
0.369241 0.439586
0.175297 0.283324
0.494729 0.414366
0.657130 0.754558
0.746630 0.875357
0.245753 0.328187
0.829316 0.946303
0.511025 0.458678
0.678792 0.158090
0.685312 0.844795
0.578812 0.438808
0.514485 0.683282
0.591970 0.733230
0.388700 0.478255
0.603120 0.348135
0.528963 0.411195
0.686978 0.130961
0.670309 0.798091
0.612762 0.780135
0.538232 0.778914
0.089222 0.223628
0.668305 0.799113
0.050550 0.180419
0.569060 0.766859
0.038644 0.188421
0.418854 0.467619
0.710052 0.155902
0.669512 0.160308
0.111702 0.263078
0.244749 0.334864
0.399293 0.466422
0.812018 0.944980
0.323674 0.447750
0.438052 0.485248
0.224537 0.317554
0.016054 0.206672
0.519482 0.327026
0.954417 0.989705
0.918461 0.994444
0.449717 0.438331
0.198477 0.321467
0.693398 0.095709
0.666870 0.102263
0.573543 0.416268
0.458572 0.563962
0.749738 0.878135
0.140425 0.244029
0.347382 0.402178
0.257456 0.367989
0.764450 0.893087
0.142647 0.237157
0.065770 0.108838
0.690524 0.130878
0.586624 0.589485
0.278612 0.372886
0.147784 0.279078
0.560772 0.247127
0.557515 0.359512
0.097851 0.279796
0.776900 0.891869
0.181450 0.312882
0.104240 0.189376
0.467109 0.459391
0.833408 0.032931
0.527827 0.617966
0.733558 0.143814
0.072298 0.191059
0.095182 0.162198
0.043611 0.169483
0.887787 0.021164
0.373301 0.421997
0.336383 0.451352
0.835120 0.018058
0.542956 0.503751
0.604614 0.784135
0.885243 0.025353
