Variable_X Variable_Y
0.823541 0.675605
0.155864 0.211317
0.604011 0.013954
0.334287 0.328244
0.727317 0.354388
0.271575 0.284905
0.919074 0.975423
0.025278 0.082915
0.481869 0.444053
0.880122 0.896362
0.517843 0.514557
0.923518 0.942534
0.383539 0.346100
0.550784 0.477288
0.245147 0.191425
0.251467 0.075662
0.541798 0.648737
0.492438 0.442654
0.694910 0.035625
0.358653 0.334815
0.835237 0.781546
0.805278 0.587327
0.758716 0.518555
0.091277 0.131398
0.471061 0.434865
0.844148 0.787570
0.288997 0.273712
0.864196 0.840464
0.427622 0.362237
0.309003 0.238053
0.100000 0.183883
0.222613 0.292505
0.744923 0.990767
0.381248 0.382797
0.495486 0.451872
0.803520 0.540197
0.564371 0.491469
0.941515 0.901998
0.770180 0.355726
0.697384 0.363340
0.398138 0.338949
0.765122 0.790974
0.458200 0.391897
0.245067 0.312859
0.224524 0.257562
0.855920 0.770836
0.479625 0.402075
0.047383 0.189118
0.898192 0.598989
0.889991 0.775785
0.885846 0.840805
0.269747 0.264079
0.886275 0.976650
0.229022 0.295061
0.778286 0.521640
0.754957 0.770168
0.234355 0.260298
0.383894 0.324738
0.015526 0.181728
0.931935 0.995025
0.588330 0.471211
0.190473 0.130567
0.171846 0.218790
0.369350 0.326206
0.665892 0.210456
0.802178 0.576303
0.134697 0.272716
0.872046 0.286716
0.522443 0.434527
0.801658 0.561272
0.756146 0.409999
0.818379 0.764661
0.757742 0.427167
0.603440 0.018719
0.961912 0.967924
0.899243 0.947822
0.687766 0.191992
0.508611 0.312892
0.783394 0.629315
0.354108 0.309420
0.672580 0.190873
0.983894 0.995740
0.698374 0.298077
0.897474 0.783891
0.471039 0.426348
0.464975 0.449450
0.691550 0.497722
0.088153 0.191918
0.386318 0.355514
0.197535 0.327442
0.135969 0.198600
0.837294 0.438476
0.826056 0.654985
0.507580 0.420237
0.031941 0.179459
0.756314 0.515994
0.018779 0.078205
0.825178 0.702825
0.837278 0.442110
0.655676 0.053964
0.783839 0.467402
0.278925 0.262978
0.368190 0.325595
0.894609 0.734063
0.077283 0.177012
0.545541 0.470219
0.641005 0.117096
0.492035 0.488850
0.858507 0.767553
0.804439 0.561865
0.390308 0.349849
0.710705 0.346545
0.774829 0.817085
0.512384 0.383910
0.102125 0.185528
0.381339 0.396227
0.183912 0.249377
0.022676 0.179359
0.727331 0.313993
0.568162 0.545150
0.893754 0.855669
0.276091 0.425435
0.364138 0.366362
0.826587 0.516530
0.403456 0.375778
0.880309 0.947712
0.296673 0.315800
0.590294 0.420687
0.179227 0.216368
0.905225 0.905690
0.068533 0.134863
0.821069 0.471076
0.475150 0.441595
0.279971 0.281446
0.092600 0.149313
0.179183 0.231742
0.030589 0.233899
0.691329 0.109420
0.931346 0.994868
0.647036 0.278234
0.153713 0.205384
0.868713 0.133242
0.499680 0.409577
0.671205 0.076210
0.087609 0.241436
0.030805 0.133468
0.671629 0.193311
0.817941 0.968712
0.495487 0.549606
0.622409 0.007978
0.088269 0.290066
0.582655 0.502600
0.179280 0.222526
0.785048 0.559192
0.699847 0.417781
0.374850 0.351787
0.622806 0.076748
0.679369 0.112448
0.861788 0.800160
0.897417 0.932551
0.034894 0.168807
0.568387 0.667233
0.065355 0.125915
0.345507 0.331188
0.746514 0.450988
0.747916 0.336806
0.405700 0.342162
0.285185 0.257209
0.359421 0.300011
0.908707 0.904422
0.622536 0.045594
0.037272 0.160940
0.375838 0.294075
