Variable_X Variable_Y
0.381795 0.322172
0.526280 0.588096
0.697849 0.670094
0.671311 0.285609
0.739863 0.380661
0.800038 0.513274
0.832057 0.557709
0.885598 0.930600
0.132024 0.201598
0.059263 0.112082
0.418279 0.648818
0.679045 0.102773
0.984191 0.535376
0.541869 0.480320
0.705528 0.240079
0.911280 0.625714
0.232460 0.252462
0.201256 0.259710
0.171751 0.266278
0.414935 0.396935
0.707928 0.341662
0.579155 0.459064
0.359018 0.333940
0.672639 0.443422
0.849105 0.769119
0.632485 0.176787
0.850042 0.712690
0.817645 0.592994
0.596845 0.553768
0.426333 0.297103
0.786072 0.542346
0.495182 0.506784
0.712921 0.173796
0.014081 0.116437
0.922075 0.521890
0.794168 0.778202
0.797778 0.674281
0.115240 0.221427
0.034228 0.158917
0.172530 0.267417
0.638686 0.026439
0.299247 0.357852
0.100419 0.237822
0.030646 0.114444
0.196449 0.241480
0.252591 0.266849
0.923680 0.998022
0.751513 0.516788
0.847099 0.759169
0.237328 0.220213
0.350596 0.336346
0.385291 0.326129
0.591272 0.328519
0.650470 0.095700
0.149340 0.248811
0.620905 0.006412
0.815118 0.253012
0.255774 0.301410
0.804306 0.666041
0.959600 0.713511
0.595963 0.525613
0.031826 0.153512
0.190817 0.197595
0.675485 0.181292
0.532009 0.523538
0.774014 0.483707
0.446733 0.406968
0.629597 0.289869
0.074700 0.171004
0.672447 0.147675
0.561979 0.435447
0.344108 0.308033
0.664487 0.136989
0.028133 0.207345
0.880948 0.890035
0.728934 0.300060
0.770484 0.476812
0.971960 0.942804
0.860194 0.879367
0.239120 0.339389
0.918231 0.892183
0.628565 0.025242
0.877344 0.803000
0.429951 0.379314
0.163822 0.197106
0.422424 0.339336
0.901330 0.860192
0.582450 0.530415
0.425162 0.431275
0.882646 0.733506
0.491683 0.444788
0.825788 0.788062
0.724002 0.428387
0.557751 0.646985
0.707835 0.832857
0.031913 0.151467
0.837939 0.746583
0.365200 0.396251
0.671231 0.389801
0.811458 0.746919
0.678919 0.104051
0.662386 0.237148
0.212406 0.266560
0.228449 0.243688
0.562349 0.493214
0.704615 0.353627
0.782251 0.522307
0.449128 0.341133
0.342522 0.278718
0.170401 0.205819
0.312044 0.310946
0.802324 0.580142
0.781730 0.546769
0.868355 0.875236
0.222806 0.333962
0.790033 0.812291
0.200515 0.251003
0.848965 0.391247
0.046130 0.178510
0.687524 0.190367
0.403089 0.346580
0.521381 0.292464
0.292196 0.261374
0.535171 0.457019
0.467327 0.407831
0.563312 0.408532
0.695091 0.301452
0.673523 0.288570
0.623968 0.067366
0.211677 0.287466
0.309638 0.250445
0.028793 0.106258
0.274636 0.264187
0.734755 0.513251
0.593246 0.439160
0.750208 0.342745
0.772973 0.396875
0.716784 0.256965
0.724121 0.338989
0.789999 0.454027
0.536687 0.493514
0.802318 0.738090
0.250039 0.311500
0.306387 0.356377
0.068051 0.129181
0.648631 0.046069
0.451821 0.439895
0.440217 0.387068
0.883381 0.926237
0.201051 0.189834
0.840956 0.939907
0.913340 0.513574
0.306232 0.266575
0.375160 0.368053
0.732579 0.623876
0.879401 0.869132
0.842081 0.766385
0.349713 0.351155
0.089641 0.183808
0.883552 0.940987
0.173539 0.241647
0.137116 0.173837
0.112692 0.266611
0.325983 0.271776
0.815898 0.171118
0.901048 0.864136
0.636324 0.255669
0.162941 0.332607
0.730861 0.543586
0.444068 0.452719
0.802872 0.732192
0.033981 0.273887
0.358779 0.322833
0.197774 0.220199
0.918424 0.823402
0.105547 0.266873
0.563502 0.492043
0.436477 0.386534
0.281832 0.300395
0.802888 0.137030
0.725066 0.083435
0.815303 0.676171
0.780499 0.542866
0.815423 0.652719
0.802067 0.556526
0.868346 0.720421
0.933323 0.931564
0.785646 0.497783
0.890683 0.944415
0.448317 0.350280
0.792651 0.685177
0.479111 0.479394
0.633103 0.056852
0.289963 0.338090
0.232366 0.274226
0.718502 0.506319
0.880873 0.719723
0.293523 0.302067
0.182439 0.212136
0.015685 0.180935
0.753312 0.451244
0.724161 0.495437
0.609401 0.040372
0.310626 0.350128
0.828325 0.669014
0.776407 0.595528
0.530449 0.376126
0.800097 0.550880
0.375283 0.371703
0.378949 0.289212
0.955655 0.985723
0.208462 0.261188
0.818662 0.691020
0.865921 0.814760
0.633897 0.128470
0.250716 0.268456
0.901254 0.919363
0.710066 0.077802
0.582926 0.472195
0.935397 0.947064
0.645446 0.047347
0.733803 0.475616
0.869318 0.965070
0.112967 0.231210
0.711598 0.375631
0.319939 0.345990
0.358378 0.274997
0.680486 0.070717
0.312402 0.264231
0.775296 0.580761
0.531510 0.471666
0.774216 0.484290
0.816247 0.563065
0.785523 0.513716
0.797967 0.606070
0.106188 0.135530
0.407979 0.437044
0.720847 0.381169
0.743876 0.489220
0.599421 0.549040
0.448635 0.401855
0.540819 0.483098
0.779599 0.663896
0.476801 0.354400
0.374342 0.345737
0.764623 0.555029
0.059217 0.098439
0.911564 0.947349
