Variable_X Variable_Y
0.403807 0.298351
0.402351 0.255452
0.180110 0.162391
0.529017 0.072612
0.677376 0.666443
0.767132 0.757859
0.772524 0.813460
0.610965 0.485832
0.854958 0.952094
0.786971 0.811348
0.263661 0.156180
0.526003 0.168847
0.524380 0.099472
0.608603 0.471909
0.546684 0.006124
0.600451 0.447504
0.735139 0.769898
0.636178 0.630300
0.246169 0.245849
0.667904 0.610982
0.871304 0.999503
0.536376 0.183911
0.195526 0.188075
0.542755 0.141820
0.092405 0.201035
0.873540 0.972017
0.236485 0.285974
0.501551 0.215422
0.166604 0.256332
0.001637 0.129599
0.837828 0.925610
0.235471 0.221128
0.741153 0.820099
0.626384 0.579588
0.312146 0.259310
0.857532 0.952511
0.738982 0.737885
0.181507 0.201901
0.628089 0.485053
0.197161 0.214567
0.494425 0.265263
0.611351 0.522436
0.738558 0.750870
0.084602 0.205709
0.797833 0.782238
0.846214 0.891301
0.011920 0.151603
0.928287 0.988395
0.756109 0.739452
0.487261 0.320655
0.212415 0.244186
0.066232 0.144245
0.775178 0.823057
0.269728 0.261482
0.418696 0.244904
0.348413 0.293288
0.351639 0.213538
0.530494 0.125139
0.451495 0.283228
0.214529 0.200901
0.759385 0.794308
0.407093 0.253294
0.370902 0.232428
0.291232 0.207185
0.027479 0.165963
0.817691 0.924650
0.234942 0.244848
0.555341 0.279888
0.718624 0.813340
0.559175 0.007687
0.087752 0.157423
0.759290 0.809656
0.270999 0.293637
0.637456 0.490419
0.185869 0.190682
0.049412 0.236250
0.155977 0.188025
0.552387 0.341983
0.259274 0.251508
0.062900 0.221505
0.701282 0.738868
0.549206 0.198416
0.031785 0.161208
0.768228 0.821384
0.534012 0.281645
0.149908 0.242752
0.228460 0.278522
0.446256 0.305771
0.222293 0.189862
0.656393 0.409784
0.464998 0.309017
0.446042 0.309213
0.644342 0.629254
0.481373 0.332036
0.588780 0.441630
0.540372 0.119650
0.587027 0.408251
0.540867 0.310137
0.765414 0.781873
0.592535 0.409458
0.482601 0.306933
0.376911 0.244856
0.414573 0.269490
0.789960 0.843803
0.546442 0.386144
0.485261 0.325330
0.010421 0.145773
0.325460 0.255940
0.815804 0.870137
0.579258 0.246644
0.603129 0.386105
0.096729 0.221734
0.646311 0.452178
0.388518 0.226243
0.713195 0.731516
0.247925 0.237753
