Variable_X Variable_Y
0.379819 0.284986
0.597995 0.414701
0.561896 0.591784
0.139065 0.215358
0.195335 0.186367
0.131428 0.199173
0.074574 0.199377
0.762162 0.906704
0.429514 0.280300
0.333645 0.252116
0.329689 0.215843
0.351666 0.271222
0.383705 0.244328
0.770966 0.771278
0.128370 0.192140
0.099723 0.200702
0.234848 0.227186
0.544522 0.008723
0.477605 0.292713
0.186953 0.140571
0.724774 0.797880
0.532187 0.278903
0.025446 0.182835
0.493491 0.275885
0.379323 0.226395
0.017747 0.108526
0.543076 0.127365
0.037040 0.154510
0.120950 0.165621
0.682274 0.675123
0.510259 0.153246
0.642341 0.493118
0.509309 0.056387
0.237531 0.176235
0.558113 0.280496
0.384094 0.234910
0.567251 0.098346
0.280741 0.282872
0.272544 0.274286
0.575747 0.055491
0.590917 0.502060
0.262503 0.282926
0.098234 0.184777
0.296201 0.256688
0.239370 0.188413
0.698124 0.639626
0.568077 0.507228
0.652179 0.685909
0.614567 0.496885
0.370204 0.249818
0.758083 0.816485
0.332137 0.283506
0.601926 0.398513
0.186192 0.215545
0.366261 0.263357
0.872690 0.966649
0.422870 0.272366
0.175443 0.177697
0.547955 0.236346
0.642755 0.494345
0.757113 0.806987
0.367697 0.260884
0.232906 0.155051
0.797812 0.796816
0.863173 0.944031
0.320977 0.250867
0.228768 0.211455
0.691408 0.666296
0.513406 0.131137
0.047668 0.150199
0.463925 0.294925
0.424218 0.284632
0.412575 0.227924
0.581006 0.384897
0.405818 0.195720
0.197391 0.156797
0.535066 0.153197
0.685971 0.653173
0.348724 0.272168
0.537888 0.252612
0.891044 0.947062
0.354371 0.264462
0.862774 0.942288
0.449409 0.244210
0.443105 0.320535
0.070974 0.191098
0.689662 0.655646
0.503564 0.163484
0.707383 0.627450
0.205378 0.235918
0.447491 0.281194
0.340256 0.246837
0.325223 0.311077
0.561829 0.350358
0.722937 0.769861
0.553920 0.111263
0.259429 0.167153
0.564867 0.438416
0.343984 0.253986
0.144193 0.161153
0.768744 0.842414
0.697643 0.714242
0.584114 0.062177
0.482259 0.231514
0.719027 0.743605
0.831751 0.869879
0.490810 0.326541
0.284829 0.221555
0.405365 0.316412
0.182747 0.210337
0.019964 0.140746
0.277402 0.224772
0.535768 0.058261
0.107648 0.123250
0.471447 0.335668
0.296398 0.226503
0.460359 0.267270
0.492980 0.312502
0.609198 0.416908
0.792599 0.830157
0.584004 0.354174
0.361775 0.271521
0.792608 0.897112
0.543049 0.061257
0.865627 0.946891
0.073915 0.195571
0.799387 0.862296
0.312712 0.264819
0.444240 0.315831
0.776311 0.878140
0.207295 0.177274
0.012485 0.171155
0.399123 0.271580
0.145936 0.227457
0.731095 0.714428
0.544020 0.380849
0.679178 0.588182
0.220203 0.192096
0.253740 0.198486
0.195746 0.256009
0.583036 0.346109
0.515584 0.074909
0.535015 0.208621
0.842042 0.918258
0.579999 0.404805
0.469319 0.297440
0.648392 0.613595
0.870614 0.925625
0.219117 0.210790
0.309861 0.250935
0.374393 0.296038
0.629121 0.538391
0.544053 0.011659
0.611227 0.558893
0.297050 0.217860
0.665395 0.439886
0.560457 0.482481
0.255190 0.217324
0.660256 0.312773
0.898531 0.984090
0.028922 0.187511
0.524910 0.207824
0.868344 0.997247
0.277860 0.274785
0.322112 0.278258
0.271173 0.211745
0.538106 0.289678
0.190887 0.230676
0.457396 0.340967
0.139687 0.216264
0.102883 0.175625
0.689053 0.661368
0.637279 0.450055
0.516391 0.018364
0.689183 0.662575
0.133273 0.199374
0.081524 0.197372
0.539787 0.298284
0.269046 0.231918
0.375534 0.289162
0.223420 0.218329
0.373045 0.271255
0.547358 0.032720
0.133703 0.220624
0.295184 0.200037
0.542772 0.441626
0.611398 0.518823
0.847921 0.860693
0.756864 0.761388
0.113821 0.215782
0.505110 0.140613
0.502057 0.040415
0.245559 0.194620
0.021293 0.176547
0.318933 0.233987
0.670706 0.674698
0.129142 0.191547
0.542783 0.319484
0.648594 0.604423
0.283210 0.233067
0.488071 0.296271
0.541267 0.249860
0.806306 0.901555
0.679007 0.543166
0.644794 0.542959
0.583358 0.487856
0.423800 0.282986
0.843323 0.934693
0.758285 0.801015
0.032770 0.148696
0.540760 0.305881
0.485280 0.311275
0.385524 0.331952
0.658608 0.690697
0.509690 0.296103
0.309474 0.257791
0.666780 0.551714
0.676969 0.678737
0.175591 0.202290
0.574695 0.325215
0.100429 0.156302
0.583648 0.426849
0.420408 0.280153
0.592338 0.421336
0.522474 0.163154
0.058400 0.180659
0.306372 0.256091
0.130492 0.173565
0.333454 0.266495
0.084895 0.146233
0.096136 0.228704
0.585950 0.464997
0.703375 0.610288
0.735388 0.814294
0.774278 0.817962
0.544581 0.047932
0.043931 0.235187
0.663865 0.659160
0.114297 0.169158
0.406883 0.271966
0.760709 0.845767
0.558272 0.339184
0.624101 0.577478
0.715673 0.781782
0.869303 0.923082
0.324394 0.207074
0.518774 0.144003
0.497015 0.360189
0.537518 0.320110
0.603081 0.573597
0.670242 0.707450
0.648693 0.610427
0.244851 0.265544
0.407064 0.325399
0.761740 0.805807
0.683828 0.519009
0.541898 0.261600
0.765036 0.693087
0.744402 0.782104
