Variable_X Variable_Y
0.312648 0.390373
0.701064 0.341014
0.723921 0.455740
0.709336 0.497968
0.157310 0.277454
0.160622 0.184810
0.812663 0.903858
0.113616 0.193013
0.658020 0.232881
0.655025 0.355638
0.649685 0.319827
0.341021 0.404888
0.194314 0.325895
0.080052 0.179170
0.477164 0.403401
0.703127 0.487203
0.167437 0.151325
0.876570 0.975818
0.066283 0.126697
0.044155 0.138251
0.414230 0.340947
0.457970 0.412045
0.375887 0.375697
0.180521 0.157312
0.400276 0.331372
0.894930 0.984148
0.017601 0.151028
0.797574 0.674922
0.320001 0.367877
0.255770 0.235284
0.563629 0.025633
0.432745 0.363575
0.872700 0.999327
0.412889 0.455582
0.188128 0.231733
0.296227 0.396960
0.375406 0.438556
0.603967 0.110889
0.790024 0.663491
0.376717 0.355667
0.309713 0.407664
0.077823 0.147085
0.609927 0.114894
0.766401 0.595929
0.689830 0.352420
0.064766 0.264331
0.125412 0.121187
0.139610 0.154285
0.205673 0.292811
0.478484 0.471165
0.683942 0.336669
0.678952 0.275219
0.106024 0.176148
0.787377 0.746386
0.119965 0.155140
0.785318 0.697645
0.848234 0.951163
0.635019 0.235336
0.620042 0.079097
0.808162 0.911434
0.308762 0.417986
0.293929 0.357110
0.656072 0.327418
0.020572 0.102905
0.476135 0.294530
0.549517 0.553101
0.855940 0.966437
0.753848 0.503420
0.648061 0.200009
0.594330 0.151913
0.368927 0.335590
0.788889 0.629947
0.279724 0.204819
0.306559 0.270189
0.197314 0.198040
0.674090 0.349983
0.683541 0.283403
0.698162 0.505703
0.704252 0.508336
0.190264 0.204743
0.459290 0.456888
0.030018 0.072007
0.886386 0.884050
0.414086 0.448126
0.538390 0.460475
0.654929 0.148155
0.680075 0.395466
0.783737 0.736135
0.724521 0.563488
0.066202 0.101039
0.307256 0.341642
0.320162 0.331068
0.054774 0.230320
0.265896 0.351629
0.449222 0.438841
0.031687 0.093181
0.754735 0.520674
0.738611 0.556821
0.764987 0.671582
0.494203 0.442537
0.364229 0.308741
0.663416 0.383158
0.786167 0.653957
0.732638 0.608294
0.767055 0.604420
0.580105 0.053520
0.669105 0.163450
0.594378 0.023586
0.599689 0.091287
0.267712 0.302007
0.061646 0.108469
0.782301 0.665370
0.689463 0.303544
0.566055 0.097091
0.148746 0.241535
0.113042 0.179914
0.646810 0.073311
0.060459 0.101819
0.119276 0.139763
0.516593 0.472256
0.785285 0.749576
0.663175 0.239766
0.709792 0.545140
0.448263 0.415872
0.403889 0.480429
0.490051 0.391942
0.628568 0.081202
0.594145 0.139506
0.389268 0.365785
0.060326 0.071650
0.592758 0.101243
0.515010 0.450960
0.655587 0.329025
0.794652 0.696301
0.781410 0.618813
0.478504 0.371157
0.715986 0.544064
0.334308 0.337084
0.367230 0.423625
0.252110 0.302846
0.699121 0.381793
0.651335 0.254747
0.807236 0.811194
0.484608 0.523176
0.822079 0.824117
0.437880 0.420097
0.094267 0.110439
0.447767 0.456081
0.814760 0.790085
0.642304 0.178429
0.759144 0.599003
0.855856 0.980733
0.118623 0.161742
0.637882 0.239893
0.622000 0.200207
0.595200 0.109170
0.626372 0.203791
0.694735 0.344266
0.806774 0.719091
0.220911 0.229795
0.780592 0.643762
0.565027 0.059909
0.724538 0.561742
0.839058 0.941434
0.585416 0.170534
0.697536 0.280371
0.852493 0.911842
0.882171 0.956284
0.409710 0.352189
0.747495 0.574192
0.352301 0.388997
0.799742 0.742890
0.296902 0.245641
0.393095 0.315591
0.684117 0.215741
0.588027 0.098811
0.307811 0.306616
0.181392 0.264147
0.655667 0.274080
0.708114 0.381061
0.902355 0.998600
0.651220 0.066786
0.287326 0.285190
0.082425 0.179297
0.655409 0.244739
0.483528 0.454881
0.614974 0.200097
0.387793 0.320904
0.145618 0.157447
0.724762 0.492358
0.131116 0.229347
0.039237 0.011664
0.261133 0.326005
0.821111 0.775298
0.147120 0.232304
0.020875 0.070897
0.442053 0.466659
0.398817 0.334180
0.665367 0.345963
0.534570 0.526949
0.825321 0.796512
0.265349 0.307503
0.447897 0.468616
0.598130 0.026258
0.689522 0.401610
0.121721 0.231118
0.698384 0.448260
0.655698 0.145557
0.611288 0.156760
0.363134 0.407165
0.121202 0.120993
0.585837 0.066232
0.487435 0.497082
0.681327 0.398324
0.606249 0.310092
0.415636 0.412497
0.433698 0.458008
0.107019 0.194588
0.833253 0.730793
0.586922 0.065842
0.778704 0.726686
0.403475 0.421257
0.727747 0.543235
0.791539 0.614097
0.643676 0.245788
0.173851 0.169927
0.429158 0.341563
0.223883 0.277493
0.608722 0.104787
0.391015 0.313959
0.800954 0.760638
0.689892 0.385873
0.876697 0.939836
0.784921 0.638755
0.116421 0.069725
0.606229 0.140542
0.283413 0.184719
0.664219 0.284137
0.465643 0.413810
0.341121 0.328161
0.854410 0.999575
0.726145 0.441714
0.701453 0.442515
0.547690 0.488302
0.538161 0.512085
0.380494 0.312566
0.340889 0.325579
0.652163 0.201127
0.039349 0.181062
0.538297 0.431448
0.861364 0.978296
0.681636 0.332132
0.664898 0.294174
0.140385 0.189732
0.733031 0.416643
0.783080 0.658024
0.390320 0.399711
0.497098 0.308425
0.773885 0.589940
0.777747 0.687875
0.736675 0.527641
0.370058 0.324449
0.604045 0.088397
0.291245 0.252910
0.593856 0.020266
0.352462 0.324101
0.667983 0.250875
0.791032 0.646215
0.318255 0.337915
0.018031 0.018275
0.483931 0.493880
0.184815 0.369473
0.801275 0.674941
0.777044 0.612791
0.864600 0.892612
0.726215 0.522407
0.650341 0.352247
0.620010 0.010723
0.740139 0.420821
0.511804 0.535739
0.751064 0.483819
0.345928 0.306731
0.386758 0.254956
0.075080 0.229187
0.752844 0.541884
0.155236 0.229386
0.114266 0.241794
0.459743 0.426547
0.352419 0.340544
0.648277 0.218893
0.474409 0.319217
0.616075 0.040433
0.659087 0.381983
0.857645 0.930093
0.692672 0.416782
0.494529 0.464168
0.850713 0.971084
0.111350 0.247290
0.065743 0.130124
0.378981 0.371746
0.500620 0.400250
0.099789 0.137039
0.247809 0.258698
0.041176 0.185803
0.609045 0.108571
0.810242 0.726972
0.681155 0.381073
0.752073 0.570598
0.780022 0.704019
0.768407 0.613022
0.706357 0.434802
0.190375 0.181119
0.618245 0.237071
0.862451 0.949543
0.216089 0.354674
0.669021 0.237226
0.675820 0.289799
0.166556 0.268734
0.603562 0.106556
0.080429 0.212781
0.204895 0.274166
0.402227 0.316731
0.642539 0.277727
0.869643 0.842701
0.302961 0.333090
0.630325 0.136354
0.091828 0.129637
0.623858 0.187208
0.291254 0.332913
0.219113 0.271051
0.662268 0.257288
0.691772 0.241898
0.792549 0.743147
0.148040 0.216473
0.589432 0.080259
0.255093 0.234041
0.317085 0.340386
0.275554 0.252544
0.713469 0.558446
0.752403 0.559439
0.583863 0.020311
0.252658 0.287734
0.413098 0.414308
0.461667 0.329702
0.799114 0.808019
0.151563 0.219765
0.135299 0.244304
0.420971 0.344766
0.350774 0.341246
0.356562 0.338976
0.451027 0.413663
0.238960 0.287206
0.093198 0.170677
0.684170 0.319355
0.826344 0.763671
0.856837 0.855243
0.878482 0.978700
0.242721 0.303567
0.477167 0.355384
0.315252 0.384810
0.821400 0.857497
0.375069 0.366483
0.308598 0.298227
0.589295 0.037599
0.119853 0.204471
0.096111 0.151215
0.131450 0.261212
0.455892 0.393249
0.790609 0.597833
0.102106 0.076173
0.874600 0.968311
0.608752 0.158022
0.046513 0.073629
0.126816 0.133888
0.834070 0.837843
0.501767 0.399385
0.073583 0.068812
0.776696 0.580689
0.268690 0.306851
0.405465 0.308270
0.366118 0.430896
