Variable_X Variable_Y
0.395974 0.389515
0.032437 0.193885
0.661666 0.313792
0.010715 0.034209
0.629235 0.158933
0.686183 0.403860
0.084005 0.137262
0.109572 0.176448
0.366494 0.412243
0.183938 0.273524
0.870067 0.944880
0.766871 0.521477
0.813732 0.697359
0.420012 0.442247
0.444817 0.431014
0.334062 0.339401
0.507997 0.542450
0.745878 0.584175
0.068390 0.101276
0.632892 0.191907
0.590773 0.108111
0.758936 0.566868
0.596979 0.139671
0.639488 0.318622
0.835675 0.847105
0.715040 0.608613
0.669738 0.313438
0.861216 0.870700
0.863659 0.841593
0.185037 0.251021
0.184873 0.280346
0.733354 0.475235
0.700856 0.336721
0.827915 0.897614
0.791246 0.666550
0.247749 0.345966
0.638557 0.181756
0.472304 0.425891
0.866110 0.994730
0.677697 0.357786
0.645716 0.271409
0.197660 0.214414
0.728515 0.448384
0.132711 0.166859
0.341056 0.352325
0.820031 0.738708
0.293976 0.347833
0.762074 0.683062
0.803404 0.761655
0.777048 0.718322
0.884198 0.956032
0.265366 0.223476
0.410541 0.372362
0.304372 0.261226
0.631151 0.219064
0.828650 0.793733
0.051154 0.212501
0.725100 0.460859
0.438736 0.400117
0.758335 0.715869
0.032482 0.098568
0.743833 0.579699
0.569473 0.045389
0.722738 0.451442
0.788546 0.878768
0.649983 0.144697
0.356274 0.468441
0.808858 0.808877
0.109812 0.197460
0.786122 0.714383
0.529030 0.433497
0.000246 0.059269
0.446844 0.390094
0.451291 0.434090
0.536976 0.530951
0.866348 0.997199
0.780110 0.583212
0.011346 0.244027
0.197164 0.251759
0.426727 0.430551
0.024923 0.107757
0.063306 0.199272
0.460470 0.408953
0.233733 0.138049
0.234708 0.272738
0.698490 0.269764
0.418297 0.437254
0.547027 0.433570
0.828865 0.776967
0.778197 0.623158
0.707012 0.529074
0.602695 0.127030
0.368352 0.384112
0.229672 0.149989
0.618989 0.175591
0.255570 0.239727
0.469617 0.379403
0.598128 0.122512
0.631928 0.136518
0.581730 0.000764
0.666599 0.193464
0.519652 0.430388
0.626631 0.117349
0.293529 0.235983
0.634017 0.247167
0.599198 0.094338
0.638453 0.267332
0.392380 0.359791
0.735861 0.614993
0.647430 0.322688
0.681877 0.267322
0.527365 0.472910
0.162876 0.139243
0.648435 0.249092
0.212299 0.301653
0.531389 0.513539
0.651394 0.270972
0.791638 0.680928
0.517815 0.534135
0.181693 0.216447
0.473389 0.377796
0.420198 0.368700
0.775120 0.656766
0.312468 0.299909
0.021940 0.058956
0.743605 0.485600
0.713140 0.493951
0.320163 0.391495
0.805059 0.685773
0.832894 0.837844
0.067263 0.114534
0.065646 0.102876
0.642115 0.233482
0.707984 0.384443
0.619467 0.071695
0.836390 0.857643
0.530713 0.509997
0.689236 0.279349
0.726852 0.461207
0.743311 0.503404
0.047078 0.042997
0.705752 0.433291
0.231679 0.145366
0.397069 0.405494
0.727221 0.418013
0.012544 0.039905
0.768982 0.627947
