Rainfall_mm	Vegetation_pct
100	2
103	2
106	3
109	3
112	3
115	4
118	4
121	5
124	5
127	5
130	6
133	6
136	7
139	7
142	7
145	8
148	8
151	9
154	9
157	9
160	10
163	10
166	11
169	11
172	11
175	12
178	12
181	13
184	13
187	13
190	14
193	14
196	15
199	15
202	15
205	16
208	16
211	17
214	17
217	17
220	18
223	18
226	19
229	19
232	19
235	20
238	20
241	21
244	21
247	21
250	22
253	22
256	23
259	23
262	24
265	24
268	25
271	25
274	26
277	26
280	27
283	27
286	28
289	28
292	29
295	29
298	30
301	30
304	31
307	31
310	32
313	32
316	33
319	33
322	34
325	34
328	35
331	35
334	36
337	36
340	37
343	37
346	38
349	38
352	39
355	39
358	40
361	40
364	41
367	41
370	42
373	42
376	43
379	43
382	44
385	44
388	45
391	45
394	46
397	46
400	47
403	47
406	48
409	48
412	49
415	49
418	50
421	50
424	51
427	51
430	52
433	52
436	53
439	53
442	54
445	54
448	55
451	55
454	56
457	56
460	57
463	57
466	58
469	58
472	59
475	59
478	60
481	60
484	61
487	61
490	62
493	62
496	63
499	63
502	64
505	64
508	65
511	65
514	66
517	66
520	67
523	67
526	68
529	68
532	69
535	69
538	70
541	70
544	71
547	71
550	72
553	72
556	73
559	73
562	74
565	74
568	75
571	75
574	76
577	76
580	77
583	77
586	78
589	78
592	79
595	79
598	80
601	82
604	83
607	84
610	84
613	85
616	85
619	86
622	86
625	87
628	87
631	88
634	88
637	88
640	89
643	89
646	89
649	90
652	90
655	90
658	90
661	91
664	91
667	91
670	91
673	92
676	92
679	92
682	92
685	92
688	93
691	93
694	93
697	93
700	93
703	93
706	94
709	94
712	94
715	94
718	94
721	94
724	94
727	94
730	95
733	95
736	95
739	95
742	95
745	95
748	95
751	95
754	95
757	95
760	95
763	95
766	95
769	95
772	95
775	95
778	95
781	95
784	95
787	95
790	95
793	95
796	95
799	95
802	95
805	95
808	95
811	95
814	95
817	95
820	95
823	95
826	95
829	95
832	95
835	95
838	95
841	95
844	95
847	95
