Dataset,Has Ground Truth,Threshold,ROCHE Low,ROCHE High,LOCI Low,LOCI High,LCUBE Low,LCUBE High,LINGAM Low,LINGAM High,ROCHE Acc,LOCI Acc,LCUBE Acc,LINGAM Acc
yurii_debt_growth,✓,Debt_to_GDP @ 90.00,GDP_Growth → Debt_to_GDP,GDP_Growth → Debt_to_GDP,GDP_Growth → Debt_to_GDP,Debt_to_GDP → GDP_Growth,GDP_Growth → Debt_to_GDP,GDP_Growth → Debt_to_GDP,GDP_Growth → Debt_to_GDP,Debt_to_GDP → GDP_Growth,50%,100%,50%,100%
ozone_temperature2,✓,temperature_c @ 1.50,ozone → temperature_c,ozone → temperature_c,ozone → temperature_c,ozone → temperature_c,ozone → temperature_c,ozone → temperature_c,temperature_c → ozone,ozone → temperature_c,50%,50%,50%,0%
fertilizer_crop_amount,✓,fertilizer_kg @ 160.00,crop_yield → fertilizer_kg,crop_yield → fertilizer_kg,crop_yield → fertilizer_kg,fertilizer_kg → crop_yield,crop_yield → fertilizer_kg,crop_yield → fertilizer_kg,crop_yield → fertilizer_kg,fertilizer_kg → crop_yield,50%,100%,50%,100%
co2_energy,✓,co2_emissions @ 17.93,energy_use_per_capita → co2_emissions,co2_emissions → energy_use_per_capita,co2_emissions → energy_use_per_capita,co2_emissions → energy_use_per_capita,energy_use_per_capita → co2_emissions,co2_emissions → energy_use_per_capita,co2_emissions → energy_use_per_capita,energy_use_per_capita → co2_emissions,0%,50%,0%,100%
ozone_temperature3,✓,temperature_c @ 10.00,ozone → temperature_c,ozone → temperature_c,ozone → temperature_c,ozone → temperature_c,ozone → temperature_c,ozone → temperature_c,ozone → temperature_c,temperature_c → ozone,50%,50%,50%,100%
barnas_fertility_hdi,✓,Human_Development_Index @ 0.86,Fertility_rate → Human_Development_Index,Fertility_rate → Human_Development_Index,Fertility_rate → Human_Development_Index,Fertility_rate → Human_Development_Index,Fertility_rate → Human_Development_Index,Fertility_rate → Human_Development_Index,Fertility_rate → Human_Development_Index,Fertility_rate → Human_Development_Index,50%,50%,50%,50%
short_long_term_interests,✓,InterestShortUK @ 3.50,InterestLongUK → InterestShortUK,InterestLongUK → InterestShortUK,InterestLongUK → InterestShortUK,InterestLongUK → InterestShortUK,InterestLongUK → InterestShortUK,InterestLongUK → InterestShortUK,InterestShortUK → InterestLongUK,InterestShortUK → InterestLongUK,50%,50%,50%,50%
interestshortuk_interestlonguk,✓,InterestShortUK @ 3.50,InterestLongUK → InterestShortUK,InterestLongUK → InterestShortUK,InterestLongUK → InterestShortUK,InterestLongUK → InterestShortUK,InterestLongUK → InterestShortUK,InterestLongUK → InterestShortUK,InterestShortUK → InterestLongUK,InterestShortUK → InterestLongUK,50%,50%,50%,50%
yurii_soil_moisture_evapotranspiration,✓,Soil_Moisture_m3_m3 @ 0.30,Evapotranspiration_mm → Soil_Moisture_m3_m3,Evapotranspiration_mm → Soil_Moisture_m3_m3,Soil_Moisture_m3_m3 → Evapotranspiration_mm,Evapotranspiration_mm → Soil_Moisture_m3_m3,Evapotranspiration_mm → Soil_Moisture_m3_m3,Evapotranspiration_mm → Soil_Moisture_m3_m3,Soil_Moisture_m3_m3 → Evapotranspiration_mm,Evapotranspiration_mm → Soil_Moisture_m3_m3,50%,100%,50%,100%
hajek_bee_traffic_weight_change,✓,X_bee_entrance_traffic_hourly_mean @ 690.00,Y_next_hour_weight_change_kg → X_bee_entrance_traffic_hourly_mean,Y_next_hour_weight_change_kg → X_bee_entrance_traffic_hourly_mean,Y_next_hour_weight_change_kg → X_bee_entrance_traffic_hourly_mean,Y_next_hour_weight_change_kg → X_bee_entrance_traffic_hourly_mean,Y_next_hour_weight_change_kg → X_bee_entrance_traffic_hourly_mean,Y_next_hour_weight_change_kg → X_bee_entrance_traffic_hourly_mean,Y_next_hour_weight_change_kg → X_bee_entrance_traffic_hourly_mean,Y_next_hour_weight_change_kg → X_bee_entrance_traffic_hourly_mean,50%,50%,50%,50%
wind_ozone,✓,windspeed @ 2.00,OzonConcentration → windspeed,OzonConcentration → windspeed,windspeed → OzonConcentration,windspeed → OzonConcentration,OzonConcentration → windspeed,windspeed → OzonConcentration,windspeed → OzonConcentration,OzonConcentration → windspeed,50%,50%,100%,0%
hajek_hk_ozone_temperature,✓,X_daily_mean_temperature_C @ 20.00,Y_daily_mean_ozone_ug_m3 → X_daily_mean_temperature_C,Y_daily_mean_ozone_ug_m3 → X_daily_mean_temperature_C,Y_daily_mean_ozone_ug_m3 → X_daily_mean_temperature_C,X_daily_mean_temperature_C → Y_daily_mean_ozone_ug_m3,Y_daily_mean_ozone_ug_m3 → X_daily_mean_temperature_C,Y_daily_mean_ozone_ug_m3 → X_daily_mean_temperature_C,X_daily_mean_temperature_C → Y_daily_mean_ozone_ug_m3,X_daily_mean_temperature_C → Y_daily_mean_ozone_ug_m3,50%,100%,50%,50%
emissions_total_per_capita_renewable_share_of_electricity__pct,✓,renewable_share_of_electricity__pct @ 15.00,emissions_total_per_capita → renewable_share_of_electricity__pct,renewable_share_of_electricity__pct → emissions_total_per_capita,renewable_share_of_electricity__pct → emissions_total_per_capita,emissions_total_per_capita → renewable_share_of_electricity__pct,emissions_total_per_capita → renewable_share_of_electricity__pct,renewable_share_of_electricity__pct → emissions_total_per_capita,emissions_total_per_capita → renewable_share_of_electricity__pct,renewable_share_of_electricity__pct → emissions_total_per_capita,100%,0%,100%,100%
ozone_temperature1,✓,temperature_c @ 10.00,ozone → temperature_c,ozone → temperature_c,ozone → temperature_c,ozone → temperature_c,ozone → temperature_c,ozone → temperature_c,temperature_c → ozone,ozone → temperature_c,50%,50%,50%,0%
chulkov_soil_moisture_evapotranspiration,✓,soil_moisture @ 0.26,evapotranspiration → soil_moisture,evapotranspiration → soil_moisture,soil_moisture → evapotranspiration,evapotranspiration → soil_moisture,evapotranspiration → soil_moisture,evapotranspiration → soil_moisture,soil_moisture → evapotranspiration,evapotranspiration → soil_moisture,50%,100%,50%,100%
