Dataset,Has Ground Truth,Threshold,ROCHE Low,ROCHE High,LOCI Low,LOCI High,LCUBE Low,LCUBE High,LINGAM Low,LINGAM High,ROCHE Acc,LOCI Acc,LCUBE Acc,LINGAM Acc
synthetic_regime_switch_quadratic_linear_student_n2000,✓,Variable_X @ 0.60,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,100%,100%,100%,100%
synthetic_regime_switch_monotonic_nonmonotonic_n2000,✓,Variable_X @ 0.45,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_X → Variable_Y,100%,100%,100%,50%
synthetic_regime_switch_linear_gaussian_to_linear_laplace_scale_0_1,✓,Variable_X @ 0.40,Variable_Y → Variable_X,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_Y → Variable_X,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,50%,100%,50%,100%
synthetic_regime_switch_linear_gaussian_to_linear_laplace_scale_1_0,✓,Variable_X @ 0.40,Variable_Y → Variable_X,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_Y → Variable_X,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_X → Variable_Y,50%,100%,50%,50%
synthetic_regime_switch_linear_gaussian_to_linear_laplace_scale_1_0_n2000,✓,Variable_X @ 0.40,Variable_Y → Variable_X,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_X → Variable_Y,50%,50%,50%,50%
synthetic_regime_switch_linear_cubic_gaussian_n2000,✓,Variable_X @ 0.50,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_X → Variable_Y,100%,100%,100%,50%
synthetic_regime_switch_variance_magnitude_n2000,✓,Variable_X @ 0.55,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,100%,100%,100%,100%
synthetic_regime_switch_linear_gaussian_to_linear_laplace_scale_0_1_n2000,✓,Variable_X @ 0.40,Variable_Y → Variable_X,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_Y → Variable_X,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,50%,100%,50%,100%
synthetic_regime_switch_quadratic_linear_student,✓,Variable_X @ 0.60,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_X → Variable_Y,100%,100%,100%,50%
synthetic_regime_switch_monotonic_nonmonotonic,✓,Variable_X @ 0.45,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_X → Variable_Y,100%,100%,100%,50%
synthetic_regime_switch_quartic_quadratic,✓,Variable_X @ 0.50,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_X → Variable_Y,100%,100%,100%,50%
synthetic_regime_switch_linear_cubic_gaussian,✓,Variable_X @ 0.50,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_Y → Variable_X,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_X → Variable_Y,100%,50%,100%,50%
synthetic_regime_switch_quartic_quadratic_n2000,✓,Variable_X @ 0.50,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_X → Variable_Y,100%,100%,100%,50%
synthetic_regime_switch_variance_magnitude,✓,Variable_X @ 0.55,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_X → Variable_Y,Variable_X → Variable_Y,Variable_Y → Variable_X,Variable_X → Variable_Y,Variable_Y → Variable_X,100%,50%,100%,100%
